character,degree,weighted_degree,betweenness,closeness,eigenvector
Mr. Lorry,60,2860,0.6945068664169788,15.106723674398951,0.46751877689961757
Madame Defarge,48,1618,0.382147315855181,14.454733374611493,0.21476007627426344
Darnay,55,2215,0.28227215980024967,14.780571318766782,0.40413088230479344
Lucie,47,1756,0.1790262172284644,14.598037511284204,0.35633271989659526
Mr. Cruncher,46,1045,0.17116104868913856,13.619940782262708,0.12562460882462637
Miss Pross,41,1401,0.09975031210986267,14.483610171352868,0.2777925689831935
Carton,46,1364,0.050436953807740326,13.743482608356198,0.23684020291440822
Doctor Manette,47,1593,0.04694132334581773,14.478750609553943,0.32774527262861575
Death,11,72,0.043695380774032455,5.432429339898162,0.006909915971961225
Saint Antoine,36,560,0.04269662921348315,12.962756675918198,0.0623046967268298
Monseigneur,27,376,0.025218476903870163,11.607432838584465,0.05159878260843638
Monsieur the Marquis,22,305,0.022971285892634207,11.266702673220784,0.03314674684040911
Mr. Carton,27,652,0.02247191011235955,13.215858166403354,0.12302558105485302
Joe,3,41,0.021972534332084893,6.204658097690312,0.004074397180056246
Mr. Stryver,28,900,0.018726591760299626,13.792756091077422,0.18627347309094075
Jacques,35,590,0.0009987515605493133,13.692319298381264,0.069079538723691
Miss Manette,28,730,0.00024968789013732833,13.549151921124164,0.14510276920577378
Mr. Attorney - General,13,147,0.00024968789013732833,9.295737044041607,0.020720470043256493
Mr. Barsad,30,467,0.00024968789013732833,12.512640386088473,0.07829358199560245
Darnay (#275),14,108,0.0,8.885235817126416,0.023500073227165717
Gaspard,9,81,0.0,9.059185944143056,0.010054082428819415
Dear papa,11,63,0.0,7.416510476507642,0.013808240151426756
Ernest Defarge,14,127,0.0,8.862283761286253,0.012810975671883738
Darnay--,7,44,0.0,5.714971619183116,0.009644830022430469
Foulon,6,43,0.0,5.21551225605743,0.003213529247584525
O,19,164,0.0,9.880985996780785,0.02968091408827752
Jacques Two,14,103,0.0,9.077059570616324,0.010823803293622668
Alexandre Manette,16,133,0.0,9.099828649647996,0.014120616306502064
the Bastille,16,119,0.0,9.326994087399944,0.012901843097286194
Jacques Four,3,22,0.0,5.188644971960513,0.0022150816126371388
the Defarges,22,316,0.0,11.789945259058104,0.043334759387600195
Liberty,17,104,0.0,7.231112664568583,0.017099953702914818
Rend Foulon,9,86,0.0,7.247687490484907,0.005708553163326771
Bully Stryver,3,26,0.0,5.639985091480905,0.007743006945653176
Miss Manette--,6,44,0.0,6.013357618342908,0.011570811262267125
count One,2,16,0.0,5.121330432069357,0.0016998264635909924
Ogre,4,26,0.0,5.226308107073965,0.0019898645150628015
Citizen Evrémonde,6,39,0.0,6.373999580937563,0.004619304083033132
Sainte Guillotine,17,97,0.0,6.167119460138568,0.011608268730196755
Citizen Manette,5,36,0.0,5.99750842779607,0.0030334619079066356
A great uproar,5,33,0.0,5.632692836893543,0.0027350495174316724
Samson,8,49,0.0,5.239993309463227,0.004292591985556276
Sheep,9,90,0.0,7.881448158292511,0.017944956539308884
Solomon John,11,114,0.0,8.772464298086318,0.019503096341838645
Woe,5,27,0.0,5.220166235494814,0.003140506523390771
the Conciergerie,19,199,0.0,9.348797053702361,0.03875903846931732
the Carmagnole,7,53,0.0,8.320599687363885,0.011812576522958532
Mr. Lorry (#305),36,764,0.0,12.864682844097123,0.14763558026042292
La Guillotine,18,149,0.0,9.758560988024762,0.02475992498312622
Charles Evrémonde,26,320,0.0,11.845925446008643,0.062411089652758135
Defarge,13,207,0.0,11.76397080381024,0.048696888149951933
Fraternity,17,157,0.0,9.512741529149942,0.030930902213768614
Hah,4,20,0.0,5.221567878746128,0.0029150460280223476
Yaha,5,49,0.0,6.6955406567985305,0.0032216158033541564
La Force,11,118,0.0,10.146190248164956,0.028533797461866666
Louis,5,45,0.0,6.758709047302257,0.0028896697122832624
The Gorgon,7,55,0.0,7.10207618835099,0.0034725764824397576
Young Jerry,16,201,0.0,11.4223557417147,0.013312266866560132
Aggerawayter,6,50,0.0,7.97012529797863,0.0030776763863645984
Mrs. Cruncher,19,251,0.0,11.763196145959936,0.026658261603129164
Hark,10,57,0.0,5.312370906737109,0.006742499423188148
God,45,673,0.0,12.199663130819667,0.11039261786869706
Monsieur Defarge,20,345,0.0,12.86895375019011,0.05322159517744598
