source,target,weight
Mr. Lorry,Darnay,282
Darnay,Lucie,280
Mr. Lorry,Miss Pross,249
Madame Defarge,Jacques,244
Mr. Lorry,Doctor Manette,243
Mr. Lorry,Lucie,234
Darnay,Doctor Manette,202
Mr. Lorry,Tellson,185
Mr. Lorry,Madame Defarge,175
Doctor Manette,Lucie,166
Carton,Mr. Lorry (#305),155
Darnay,Carton,145
Mr. Stryver,Carton,139
Mr. Lorry,Mr. Stryver,130
Doctor Manette,Miss Pross,129
Lucie,Miss Pross,125
Mr. Lorry,Miss Manette,121
Madame Defarge,Saint Antoine,117
Madame Defarge,Monsieur Defarge,116
Darnay,Mr. Carton,114
Mr. Cruncher,Miss Pross,111
Darnay,Miss Pross,107
Darnay,Mr. Stryver,106
Mr. Lorry,Carton,104
Mr. Lorry,Mr. Cruncher,99
Miss Manette,Mr. Stryver,98
Doctor Manette,Carton,88
Miss Manette,Mr. Carton,86
Darnay,Mr. Lorry (#305),86
Mrs. Cruncher,Mr. Cruncher,85
Madame Defarge,Lucie,84
Lucie,Carton,83
Carton,Mr. Barsad,82
Madame Defarge,Doctor Manette,78
Lucie,Mr. Lorry (#305),76
God,Lucie,71
Mr. Cruncher,Young Jerry,69
Tellson,Darnay,69
Mr. Stryver,Lucie,69
Miss Manette,Darnay,67
Miss Pross,Ladybird,67
Madame Defarge,Miss Pross,66
Mr. Lorry,Mr. Barsad,66
Doctor Manette,Mr. Lorry (#305),65
Madame Defarge,the Defarges,62
Carton,Miss Pross,61
Mr. Stryver,Mr. Carton,61
Mr. Lorry,Mr. Carton,59
Darnay,Charles Evrémonde,59
Mr. Lorry,Ladybird,58
Mr. Lorry,Lucie (#192),58
Darnay,Defarge,57
Doctor Manette,Mr. Stryver,57
Mr. Lorry,Monsieur Defarge,55
Madame Defarge,Darnay,54
Miss Pross,Solomon,52
Mr. Cruncher,Cly,52
Mr. Lorry,God,52
Tellson,Mr. Cruncher,51
Doctor Manette,Ladybird,50
Tellson,Lucie,50
God,Mr. Carton,50
Monseigneur,Monsieur the Marquis,49
Saint Antoine,the Defarges,48
Jacques,Saint Antoine,47
Mr. Carton,Carton,47
Madame Defarge,Carton,47
Darnay,Lucie (#192),46
Darnay,Monseigneur,46
Madame Defarge,Mr. Lorry (#305),46
Mr. Cruncher,Carton,46
Mrs. Cruncher,Young Jerry,45
Madame Defarge,Monsieur the Marquis,45
Tellson,Miss Manette,43
Miss Manette,Lucie,42
Mr. Lorry,Mr. Lorry (#305),42
Lucie (#192),Miss Pross,41
Monsieur Defarge,Jacques,41
Mr. Cruncher,Mr. Barsad,41
Mr. Lorry,Monsieur Manette,41
God,Miss Pross,41
God,Darnay,41
Miss Manette,Doctor Manette,40
Doctor Manette,Charles Evrémonde,39
Heaven,Darnay,39
Doctor Manette,Lucie (#192),38
Mr. Cruncher,the Old Bailey,38
Darnay,Monsieur Gabelle,37
Mr. Lorry,Monseigneur,36
Heaven,Lucie,35
Miss Manette,God,35
Miss Manette,Carton,34
Tellson,Miss Pross,34
Mr. Lorry,Co.,33
Madame Defarge,Mr. Cruncher,32
Cly,Mr. Barsad,32
La Force,Darnay,32
Mr. Lorry,Solomon,32
Miss Pross,Mr. Lorry (#305),31
Lucie,O,30
Mr. Carton,Lucie,30
Mr. Cruncher,Solomon,30
Madame Defarge,God,29
Mr. Carton,Mr. Lorry (#305),29
God,Mr. Stryver,29
Lucie,Charles Evrémonde,29
Monseigneur,Monsieur Gabelle,29
Tellson,Doctor Manette,29
Mr. Lorry,Defarge,29
Darnay,La Guillotine,28
Monsieur the Marquis,Monsieur Gabelle,28
Mr. Lorry,Cly,28
Carton,the Conciergerie,28
Tellson,Mr. Stryver,28
Madame Defarge,the Bastille,26
Monsieur Defarge,Saint Antoine,26
Darnay,Saint Antoine,26
Miss Pross,Mr. Barsad,25
God,Carton,25
Jacques,Jacques Two,25
Darnay,Monsieur the Marquis,25
Madame Defarge,Gaspard,24
Madame Defarge,Alexandre Manette,24
Madame Defarge,Heaven,24
Mr. Lorry,Fraternity,24
Co.,Tellson,24
Darnay,Fraternity,24
Madame Defarge,Jacques Two,24
Miss Manette,Madame Defarge,23
Jacques,the Defarges,23
Mr. Lorry,the Conciergerie,23
Mr. Barsad,the Conciergerie,23
Mr. Lorry,Mr. Attorney - General,23
Tellson,Monseigneur,23
Carton,the Defarges,23
Mr. Lorry,Heaven,23
Darnay,the Conciergerie,22
Jacques,Monsieur the Marquis,22
Madame Defarge,Ernest Defarge,22
God,Saint Antoine,22
Miss Pross,Solomon John,22
Doctor Manette,the Defarges,21
Mr. Cruncher,Lucie,21
Monsieur Manette,Madame Defarge,21
Mr. Cruncher,Doctor Manette,21
Joe,Tom,21
Heaven,Saint Antoine,21
Mr. Lorry,Darnay (#275),21
Heaven,Miss Pross,21
Lucie,Monsieur Gabelle,21
Tellson,Mrs. Cruncher,21
Miss Pross,O,20
Lucie,Darnay (#275),20
Cly,Carton,20
Tellson,the Old Bailey,20
Tellson,Young Jerry,20
Mr. Carton,Lucie (#192),20
Doctor Manette,Mr. Barsad,20
God,Doctor Manette,20
Monsieur the Marquis,The Gorgon,19
Mr. Lorry,Monsieur Gabelle,19
Miss Pross,Charles Evrémonde,19
Mr. Cruncher,Aggerawayter,19
Doctor Manette,Ernest Defarge,19
Lucie,the Carmagnole,19
Tellson,God,19
Lucie,Defarge,18
Mr. Lorry,Jacques,18
God,Mr. Cruncher,18
Mr. Lorry,Solomon John,18
Mr. Lorry,Barsad,18
Lucie,Ladybird,18
Carton,Sheep,17
