character,degree,weighted_degree,betweenness,closeness,eigenvector
Jonathan,98,4994,0.5887523887523887,12.923213695623682,0.4398123120435847
Van Helsing (#335),86,4895,0.461042861042861,12.893607372164588,0.4612780814662679
Lucy,76,3615,0.16246246246246246,12.777667638954995,0.3607993384427627
Renfield,50,1157,0.11932841932841934,12.114414045615854,0.12303958340137706
Count Dracula,46,625,0.1180999180999181,11.467359935889837,0.046777511065530616
Dr. Seward,88,3550,0.115997815997816,12.771713440985751,0.3473295810943662
Lor,21,136,0.06945126945126945,6.974169883683998,0.007338794472239972
Lord Godalming,63,2398,0.04171444171444171,12.604053404201418,0.24725189890084048
Galatz,35,589,0.034561834561834565,10.952007280784061,0.04754395769775641
Arthur,69,2847,0.01872781872781873,12.62961324734506,0.30030723843466983
Quincey,59,2209,0.018236418236418236,12.503266074487819,0.23884110566258537
the Slovaks,28,248,0.01769041769041769,9.526997801122059,0.018092561087952777
Whitby,28,442,0.01752661752661753,10.471552459328615,0.0366688636655256
Mrs. Harker,51,1833,0.0007098007098007098,12.41933880436344,0.1989143107623518
Dracula,22,147,0.0006552006552006552,6.138410857600826,0.008546414557433627
Bersicker,9,82,0.0006552006552006552,4.532136575700595,0.0021030229516926474
Captain Donelson,17,164,0.0001638001638001638,7.44595942590958,0.010005059562322841
the Turk,11,64,0.0001638001638001638,4.491921422442481,0.0008561379984916516
Carter Paterson,14,116,0.0001638001638001638,6.835102230391856,0.008387126428902488
Friend John,22,576,0.0001638001638001638,11.352785815776278,0.06650620687970134
the Huns,13,105,0.0001638001638001638,6.662508064486294,0.0023622639071623716
the Szekelys,13,105,0.0001638001638001638,6.662508064486294,0.0023622639071623716
Smollet,12,112,8.19000819000819e-05,7.467982278323344,0.008433147585385357
Madam Mina,49,1900,5.46000546000546e-05,12.472083627468681,0.20747092186646712
Mina Harker (#3570),9,52,0.0,5.412150368797025,0.001974919844542571
Mr. Bloxam,9,52,0.0,4.61875173051424,0.002370637832087564
Sam,8,37,0.0,5.34957147625533,0.0030091373228582257
Sacred Wafer,14,125,0.0,7.709194719188682,0.014017096970176736
Ca,13,94,0.0,7.159636071907154,0.009883939440177982
Mina Harker (#3523),13,69,0.0,5.000845003490368,0.005956826116566595
The Draculas,12,75,0.0,5.011169347344026,0.007711581613054458
Mrs. Harker:--,14,110,0.0,6.512414677461299,0.010362161055585123
