source,target,weight
Jonathan,Van Helsing (#335),666
Lucy,Van Helsing (#335),554
Dr. Seward,Jonathan,504
Lucy,Jonathan,484
Arthur,Van Helsing (#335),447
Dr. Seward,Van Helsing (#335),441
Lucy,Arthur,401
Lucy,Dr. Seward,379
Jonathan,Lord Godalming,363
Lord Godalming,Van Helsing (#335),348
Quincey,Van Helsing (#335),340
Jonathan,Arthur,330
Van Helsing (#335),Mrs. Harker,311
Van Helsing (#335),Madam Mina,308
Jonathan,Madam Mina,290
Jonathan,Quincey,272
Dr. Seward,Lord Godalming,245
Quincey,Arthur,239
Dr. Seward,Arthur,236
Jonathan,Mrs. Harker,224
Quincey,Lord Godalming,185
Dr. Seward,Quincey,178
Dr. Seward,Renfield,170
Lucy,Quincey,162
Mrs. Harker,Madam Mina,158
Dr. Seward,Madam Mina,156
Dr. Seward,Mrs. Harker,151
Jonathan,Renfield,148
Lord Godalming,Madam Mina,144
Lord Godalming,Mrs. Harker,141
Van Helsing (#335),Renfield,138
Lucy,Mrs. Westenra,132
Lucy,Mrs. Harker,127
Lucy,Madam Mina,124
Quincey,Mrs. Harker,118
Arthur,Lord Godalming,114
Quincey,Madam Mina,114
Lucy,Lord Godalming,104
Arthur,Mrs. Harker,100
Professor Van Helsing,Van Helsing (#335),94
Van Helsing (#335),Friend John,92
Lucy,Professor Van Helsing,92
Jonathan,Mr. Hawkins,91
Dr. Seward,Professor Van Helsing,91
Arthur,Madam Mina,89
Arthur,Mrs. Westenra,88
Count Dracula,Jonathan,87
Mrs. Westenra,Van Helsing (#335),80
Lucy,Renfield,80
Arthur,Renfield,79
Quincey,Renfield,74
Jonathan,Mrs. Westenra,73
Lord Godalming,Renfield,72
Jonathan,Professor Van Helsing,71
Mrs. Harker,Renfield,68
Van Helsing (#335),Un - Dead,66
Galatz,Van Helsing (#335),66
Dr. Seward,Mrs. Westenra,65
Lucy,Friend John,63
Friend John,Mrs. Harker,60
Jonathan,Friend John,60
Jonathan,Galatz,56
Mina,Jonathan,55
Dr. Seward,Friend John,54
Count Dracula,Van Helsing (#335),54
Whitby,Lucy,54
Lord Godalming,Professor Van Helsing,53
Lucy,Mr. Hawkins,53
Whitby,Jonathan,51
Jonathan,Un - Dead,50
Friend John,Madam Mina,50
Mina,Lucy,50
Lucy,DR . SEWARD,48
Galatz,Lord Godalming,48
Van Helsing (#335),DR . SEWARD,47
Dr. Seward,Van Helsing,45
Galatz,Madam Mina,45
Arthur,Jack,43
Lucy,Van Helsing,43
Lucy,Un - Dead,42
Dr. Seward,Galatz,42
Jonathan,Alas,41
Arthur,Professor Van Helsing,41
Arthur,Friend John,40
Arthur,Un - Dead,39
Quincey,Friend John,39
Lucy,Mina Harker (#2083),38
Lucy,Mr. Swales,38
Count Dracula,Madam Mina,38
Jonathan,Mina Murray,38
Mina,Dr. Seward,37
Quincey,Professor Van Helsing,37
Galatz,Mrs. Harker,36
Czarina Catherine,Van Helsing (#335),36
Lucy,Mr. Holmwood,36
Jonathan,the Szgany,36
the Slovaks,Jonathan,35
Whitby,Dr. Seward,35
Van Helsing (#335),Alas,35
Dr. Seward,Un - Dead,34
Galatz,Quincey,34
Czarina Catherine,Lord Godalming,34
Arthur,DR . SEWARD,33
Arthur,Van Helsing,33
Count Dracula,Dr. Seward,33
Van Helsing (#335),Veresti,32
Madam Mina,Alas,32
Jonathan,Veresti,32
Jonathan,Van Helsing,31
Buda - Pesth,Jonathan,31
Nay,Van Helsing (#335),31
Madam Mina,Renfield,31
Jonathan,DR . SEWARD,30
Jonathan,Mr. Holmwood,30
Lucy,Mina Murray,29
Czarina Catherine,Jonathan,28
Quincey,Un - Dead,28
Count Dracula,Lord Godalming,28
Professor Van Helsing,Mrs. Harker,28
Jonathan,Sister Agatha,28
Mitchell,Candy,28
Professor Van Helsing,Madam Mina,27
Dr. Seward,Veresti,27
Mina,Arthur,27
Lord Godalming,Mitchell,26
Jack,Van Helsing (#335),26
Jonathan,Nay,26
Whitby,Mrs. Harker,25
Jonathan,Mitchell,25
Arthur,Mina Murray,25
Jonathan,Mina Harker (#2083),24
Whitby,Professor Van Helsing,24
Count Dracula,Lucy,24
Mr. Hawkins,Arthur,24
Van Helsing (#335),Aha,24
Van Helsing (#335),Jack (#389),24
Jonathan,DR . SEWARD (#432),23
Lord Godalming,Alas,23
Lord Godalming,Friend John,23
Whitby,Samuel F. Billington,23
Jonathan,Mr. Swales,23
Dr. Seward,Alas,23
Count Dracula,Galatz,23
Quincey,Jack,23
Czarina Catherine,Galatz,23
Dr. Seward,Mr. Hawkins,22
Whitby,Lord Godalming,22
Jonathan,Mina Harker,22
Whitby,Van Helsing (#335),22
Czarina Catherine,Dr. Seward,22
Van Helsing,Van Helsing (#335),22
Galatz,Captain Donelson,22
Whitby,Arthur,21
Dr. Seward,Nay,21
Jonathan,Wo,21
Bersicker,Thomas,21
Jonathan,Jack,20
Lucy,Geordie,20
Lord Godalming,Veresti,20
Quincey,Wo,20
Czarina Catherine,Mrs. Harker,20
Van Helsing (#335),DR . SEWARD (#432),20
Van Helsing (#335),Jonathan (#381),20
Lord Godalming,Quincey (#438),19
Mrs. Westenra,Van Helsing,19
Lord Godalming,Lloyd,19
Van Helsing (#335),Sacred Wafer,19
Mina Murray,Mr. Swales,19
Van Helsing (#335),Lloyd,19
Van Helsing (#335),Quincey (#438),19
the Slovaks,Van Helsing (#335),19
Mr. Hawkins,Mina Harker (#2083),19
Professor Van Helsing,Renfield,19
Dr. Seward,Jack (#325),19
Madam Mina,Veresti,19
Lord Godalming,DR . SEWARD (#432),18
Lord Godalming,Candy,18
Mrs. Westenra,Lord Godalming,18
Madam Mina,Un - Dead,18
Van Helsing (#335),Rufus Smith,18
Dr. Seward,Mitchell,18
Count Dracula,Mr. Hawkins,18
Arthur,Mina Harker (#2083),18
Nay,Arthur,18
Count Dracula,Quincey,18
Dr. Seward,Smollet,17
Jonathan,Thomas Snelling,17
Dr. Seward,the Szgany,17
Jonathan,Candy,17
the Slovaks,Lord Godalming,17
Arthur,Alas,17
Dr. Seward,Mina Harker,17
Jonathan,Smollet,17
Thomas Snelling,Renfield,17
Count Dracula,Professor Van Helsing,17
Czarina Catherine,Lloyd,17
Lucy,Sister Agatha,17
Count Dracula,Mrs. Harker,17
Bersicker,Mr. Bilder,17
Van Helsing (#335),Mina Harker (#2083),17
Immanuel Hildesheim,Skinsky,17
Lucy,Jack,17
Galatz,Rufus Smith,16
Dr. Seward,Sister Agatha,16
Jack (#325),Van Helsing (#335),16
Dr. Seward,Thomas Snelling,16
the Szgany,Lord Godalming,16
Whitby,Carter Paterson,16
Sons,Candy,16
Madam Mina,Sacred Wafer,16
Dr. Seward,the Slovaks,16
Lord Godalming,Jack (#389),16
Quincey,Winchesters,16
Mr. Holmwood,Arthur,16
Quincey,Mrs. Westenra,16
Mr. Holmwood,Mrs. Westenra,16
Professor Van Helsing,Alas,16
Mina,Buda - Pesth,16
Arthur,Jack (#325),16
Mr. Swales,Geordie,16
Mr. Hawkins,Sister Agatha,16
Lord Godalming,Rufus Smith,16
Dr. Seward,Ca,16
Lucy,Aha,16
Lucy,King,16
Jonathan,Unclean,16
Sons,Mitchell,16
Van Helsing (#335),Unclean,16
Lucy,Mina Harker,16
Smollet,Thomas Snelling,16
the Szekelys,the Huns,16
Lord Godalming,Sons,16
Galatz,Arthur,16
Czarina Catherine,Rufus Smith,15
Wo,Arthur,15
Count Dracula,the Huns,15
Arthur,Geordie,15
Count Dracula,the Szekelys,15
Whitby,Mr. Hawkins,15
Mrs. Harker,Rufus Smith,15
Van Helsing (#335),Ca,15
Jonathan,Samuel F. Billington,15
Count Dracula,the Slovaks,15
Van Helsing (#335),Captain Donelson,15
Mr. Hawkins,Van Helsing (#335),15
Arthur,Mitchell,15
Lord Godalming,Sacred Wafer,15
Buda - Pesth,Mr. Hawkins,15
Bistritz,Jonathan,15
Mrs. Westenra,Professor Van Helsing,15
Samuel F. Billington,Carter Paterson,15
Van Helsing,Madam Mina,15
Jonathan,King,15
Lucy,Jack (#325),15
Dr. Seward,Wo,15
Lor,Renfield,15
Bistritz,the Slovaks,14
Jonathan,Nature,14
Jonathan,Mother,14
Arthur,Mr. Swales,14
Quincey,Alas,14
Bistritz,Mina,14
Van Helsing (#335),Winchesters,14
Whitby,Mrs. Westenra,14
Jonathan,Carter Paterson,14
Mina Murray,Mrs. Westenra,14
Czarina Catherine,Madam Mina,14
Galatz,Immanuel Hildesheim,14
Galatz,Skinsky,14
Whitby,Count Dracula,14
Jonathan,Lloyd,14
Count Dracula,Mina,14
Mr. Holmwood,Mina Murray,14
Friend John,Mrs. Harker:--,14
Mr. Hawkins,the Szgany,13
Van Helsing (#335),Skinsky,13
the Szgany,Van Helsing (#335),13
Quincey,DR . SEWARD,13
Arthur,Mother,13
Dr. Seward,Aha,13
Jonathan,Sacred Wafer,13
Lucy,Wo,13
Professor Van Helsing,Van Helsing,13
Dr. Seward,Mother,13
Mrs. Harker,Jonathan (#381),13
Dr. Seward,Mina Harker (#2083),13
