character,degree,weighted_degree,betweenness,closeness,eigenvector
Emma,118,13626,0.8606608745192992,20.048451344676003,0.47935230319162797
Harriet,103,7327,0.11636519014385413,19.7816318870013,0.3069142668393481
Mrs. Elton,78,3863,0.08680387409200967,19.317594292843008,0.153273937602933
Mrs. Weston,95,7237,0.05080472867112946,19.708247959078122,0.2990397401806914
Mr. Knightley (#281),100,7819,0.03381522100365569,19.760783984640863,0.3201376312844419
Mr. Weston,88,5431,0.033684660304799885,19.540424512148302,0.235769641966127
Mr. Elton,92,4944,0.03349475383373689,19.547634059740112,0.2117704879490038
Miss Fairfax,93,6243,0.027944737216920656,19.659464343366125,0.2500718209376811
Miss Woodhouse,101,6439,0.01906660969472535,19.622133171931694,0.2612758396512786
Mr. Woodhouse,103,5325,0.017305227175616007,19.49987121847198,0.21985240939583564
Mr. Martin,51,1291,0.016521862982481126,18.469312707418307,0.05865898741593532
Mr. Knightley,90,6341,0.0019584104828372024,19.60789923355619,0.2609724365959822
Miss Bates,90,4090,0.0008664482742249441,19.268568398054104,0.16188894533784487
Colonel Campbell,61,1626,0.00042728955989175326,18.02386317516838,0.05687709961581856
Mr. Perry,72,1722,0.0003323363243602525,18.338674458892182,0.07025060278746505
Randalls,79,3220,0.0001424298532972511,19.11222843072814,0.13919044280692133
Mrs. Bates,64,1845,7.121492664862555e-05,18.213657423629368,0.07092332960746547
Hartfield,49,1648,7.121492664862555e-05,18.23068227417875,0.07131142138660841
Ford,33,430,4.747661776575036e-05,13.977966879604717,0.01671317867936914
Miss W.,13,83,0.0,5.802657459687208,0.0032057215475659318
Mrs. S.,10,49,0.0,5.755973285682974,0.0021303037842349544
Mrs. (#3425),7,47,0.0,5.758193119311469,0.0019286103651616488
Both,9,56,0.0,5.761052954585645,0.0026096853014466346
Wright,30,297,0.0,11.056779315350099,0.008651209399496642
Mr. E.,28,420,0.0,14.563903785180672,0.01803285167888755
Miss Woodhouse.—Dear Miss Woodhouse,21,157,0.0,5.879960963961222,0.004125204751730771
Mrs. Partridge,17,127,0.0,9.083023846016808,0.0026109930396261507
Selina,34,343,0.0,13.166285797216542,0.010982618217095999
Surry,12,64,0.0,7.149439093104729,0.0023908412637553933
Mr. (#4622),7,34,0.0,5.757123313982728,0.0018958937629840957
Mr. Suckling,39,523,0.0,14.787597673923802,0.016051469429896634
Mrs. Stokes,25,215,0.0,9.076475830939724,0.0068015470540873256
Miss _ Gilbert,14,69,0.0,5.749416061078196,0.003192105464597699
Ah,17,89,0.0,6.23307905358095,0.0037538783749563355
Mrs. Hodges,26,306,0.0,12.142292887981052,0.011478796729605787
William Larkins,35,488,0.0,14.407023194916384,0.019844594964854367
Mrs. Wallis,18,188,0.0,7.975133227307919,0.006801148653539071
Voices,18,140,0.0,7.174288784688047,0.005094667047945976
Anne Cox,16,91,0.0,6.532782025117566,0.0024887916510742776
the Coxes,25,231,0.0,10.480691814864283,0.008133987128775565
Nay,26,230,0.0,11.54668200298444,0.009479998423372943
Miss,11,95,0.0,10.29886779566396,0.005029836996872407
Mr. Knightley—“I,17,101,0.0,6.714416684165817,0.003949812498281638
Mrs. (#1828),21,157,0.0,5.879960963961222,0.004125204751730771
June,26,240,0.0,10.798178289042095,0.008629681057006108
Mr.,17,88,0.0,6.719004959461984,0.0032501438352779497
Miss F,13,83,0.0,5.802657459687208,0.0032057215475659318
Anna Weston,10,43,0.0,6.25036887221773,0.0023132113565657074
Mr. Knightley?—Who,16,78,0.0,5.758707432387973,0.0030586539044611992
Astley,16,123,0.0,8.954194208917139,0.005012033800011784
Mr. Knightley.—“Emma,5,36,0.0,5.757432423182191,0.0018870516888570997
Mr. Knightley.—Were,11,52,0.0,5.756080532642537,0.0027559301734856765
God,12,142,0.0,11.89454506961468,0.008069934232568169
Mr. Knightley.—It,11,65,0.0,6.249902298478627,0.002994119162560859
John,17,146,0.0,8.94308839296371,0.005564351425103584
Mrs. Smallridge,31,399,0.0,13.999776319070113,0.01547214627577652
Mrs. Bragge,29,290,0.0,12.497287573692685,0.009397326009982769
Hazle,8,50,0.0,5.756080532642537,0.002666775333374
Mr. William Cox,37,498,0.0,13.27283352362201,0.018978407094159017
the Sucklings,25,236,0.0,11.367122968446171,0.00942965094927622
Mrs. Suckling,24,248,0.0,10.978512695166689,0.009443150131333867
Mrs.,16,108,0.0,7.563288491315611,0.004334496692803219
Miss Bickerton,12,107,0.0,8.290211917018429,0.005351215684528248
Mr. Elton.—She,15,103,0.0,7.149481428130945,0.004799680805644431
dear Mr. Richard?—Oh,21,157,0.0,5.879960963961222,0.004125204751730771
the Tupmans,12,82,0.0,5.746840666119768,0.003156619026906656
Adopt,7,40,0.0,6.249187247312582,0.002284805574966383
Miss Campbell,28,522,0.0,15.020174657406846,0.017631056082537427
the Bateses,35,350,0.0,12.5194507773557,0.013243784562122366
Augusta,21,227,0.0,12.219575860587842,0.008801414564865767
Miss Woodhouse (#122),17,248,0.0,15.115286750465524,0.010326625245396825
George,35,415,0.0,13.614783929928016,0.015665046025430156
Henry,39,931,0.0,17.2011813917613,0.04075904299491029
Mrs. John Knightley,49,1057,0.0,17.31760346178703,0.04283633434772491
Miss Nash,28,339,0.0,13.850293512468438,0.011441448765331007
Mrs. Martin,31,463,0.0,14.995676657985111,0.01991430439148508
the Martins,30,433,0.0,14.888890577465686,0.01599437890409438
Serle,23,211,0.0,10.965430375477531,0.008918364504126919
Elizabeth,27,308,0.0,13.40385132932361,0.011776927139886218
Somebody,26,263,0.0,11.840602315700544,0.011403793295305956
the Westons,51,789,0.0,15.296867411106195,0.029698348478506286
Mrs. Perry,44,800,0.0,15.460941485466012,0.029571158225292965
