source,target,weight
Emma,Harriet,1100
Emma,Mr. Knightley (#281),1035
Emma,Mrs. Weston,894
Mr. Knightley,Emma,819
Emma,Miss Fairfax,810
Miss Woodhouse,Emma,806
Mr. Elton,Emma,702
Mr. Weston,Emma,681
Emma,Mr. Woodhouse,652
Mrs. Weston,Mr. Knightley (#281),608
Mr. Elton,Harriet,580
Miss Fairfax,Mr. Knightley (#281),520
Mr. Weston,Mr. Knightley (#281),501
Harriet,Mr. Knightley (#281),500
Mr. Weston,Mrs. Weston,489
Miss Bates,Emma,459
Miss Woodhouse,Harriet,442
Mr. Knightley,Mrs. Weston,437
Emma,Mrs. Elton,421
Mr. Knightley,Harriet,411
Miss Fairfax,Mrs. Weston,410
Miss Woodhouse,Mr. Knightley (#281),409
Randalls,Emma,394
Mr. Knightley,Mr. Woodhouse,394
Harriet,Mrs. Weston,378
Miss Woodhouse,Mrs. Weston,369
Mr. Woodhouse,Mrs. Weston,355
Miss Woodhouse,Miss Fairfax,342
Mr. Knightley,Mr. Elton,338
Harriet,Mr. Woodhouse,326
Miss Woodhouse,Mr. Knightley,319
Mrs. Elton,Mr. Knightley (#281),314
Mr. Knightley,Mr. Knightley (#281),306
Isabella,Emma,306
Mr. Woodhouse,Mr. Knightley (#281),305
Harriet,Miss Fairfax,302
Miss Bates,Miss Fairfax,302
Miss Woodhouse,Mr. Elton,300
Mr. Knightley,Miss Fairfax,298
Mr. Weston,Mr. Knightley,297
Miss Woodhouse,Mr. Woodhouse,293
Mr. Weston,Mr. Woodhouse,288
Miss Woodhouse,Mr. Weston,283
Mr. Weston,Harriet,271
Miss Bates,Mr. Knightley (#281),267
Randalls,Mrs. Weston,260
Mr. Weston,Miss Fairfax,245
Miss Bates,Mrs. Weston,242
Miss Woodhouse,Mrs. Elton,241
Miss Woodhouse,Miss Bates,233
Mrs. Weston,Mrs. Elton,228
Miss Fairfax,Mrs. Elton,226
Randalls,Mr. Knightley (#281),225
Mr. Weston,Randalls,225
Emma,Mr. Martin,224
Mr. Elton,Mr. Knightley (#281),222
Mr. Elton,Mr. Woodhouse,215
Harriet,Mr. Martin,215
Mr. Elton,Mrs. Weston,214
Miss Bates,Harriet,210
Mr. Weston,Mrs. Elton,207
Mr. Perry,Emma,206
Miss Fairfax,Mr. Woodhouse,200
Mr. Knightley,Miss Bates,197
Hartfield,Emma,196
Emma,Mrs. Bates,194
Isabella,Mr. Knightley,194
Isabella,Mr. Woodhouse,193
Randalls,Harriet,189
Randalls,Mr. Knightley,184
Miss Fairfax,Colonel Campbell,177
Miss Bates,Mrs. Elton,172
Isabella,Mrs. Weston,171
Miss Woodhouse,Randalls,170
Emma,Colonel Campbell,168
Randalls,Mr. Woodhouse,167
Mr. Weston,Mr. Elton,166
Harriet,Mrs. Elton,160
