character,degree,weighted_degree,betweenness,closeness,eigenvector
Elizabeth,36,926,0.5501700680272109,9.656172765740614,0.5067266506655813
Clerval,36,753,0.3796768707482993,9.434877253910317,0.4015876613799043
God,24,419,0.27125850340136054,9.110358276118703,0.25667423434077685
Felix,23,365,0.23979591836734693,6.79043045942782,0.05033105755591759
Frankenstein (#151),17,224,0.23299319727891155,8.390270452143167,0.09580491036352365
Safie,18,284,0.07908163265306122,6.320153711194585,0.03536639710645187
Mr. Kirwin,8,108,0.04081632653061224,7.338221505592672,0.07671583879310671
Margaret,11,100,0.03996598639455782,5.964362353589177,0.038644843761340836
Victor,26,536,0.03486394557823129,9.03163462748709,0.3516819913419987
William,26,555,0.00935374149659864,8.962717842757007,0.3655779975940767
Cornelius Agrippa,15,143,0.008503401360544217,6.3671646885224575,0.04609354739796687
Justine,23,494,0.006377551020408163,8.889269466619595,0.3308846609719059
Agatha,12,244,0.0,6.324177200245775,0.02278260253841487
the Turk,7,95,0.0,5.209414119600274,0.005397357157173092
Begone,6,44,0.0,4.73791211315685,0.007324962858716745
the Arabian,8,95,0.0,5.26324219983295,0.005635407622400995
De Lacey,11,151,0.0,5.843355158640779,0.011118459198073395
Child,2,12,0.0,3.211439553134267,0.0010860068775120427
The Italian,10,42,0.0,3.5984311627144674,0.002653479092576032
Adam,7,53,0.0,4.935253949991346,0.0075396721164334365
Satan,7,41,0.0,4.723796921286267,0.006763845071911154
Boy,3,17,0.0,4.203138564582815,0.0019287160809187734
Nay,8,74,0.0,6.389704590874295,0.03985046588668465
Charles I.,4,16,0.0,4.377541988434567,0.013925512442937391
Man,5,28,0.0,4.545296486522673,0.013491782563803408
Daniel Nugent,4,20,0.0,4.079695404513278,0.010556833612823932
Wretch,5,40,0.0,4.75917787511271,0.014195013670796819
Devil,6,44,0.0,4.261147052221647,0.009729606211423904
Geneva,10,69,0.0,5.955930622754761,0.032341631603854164
M. Clerval,10,53,0.0,5.2078079380063445,0.02220599719450458
Alas,22,368,0.0,8.574923511042654,0.2426391243000212
Frankenstein,14,63,0.0,4.47190491050383,0.028534343458679615
Mrs. Saville,3,20,0.0,4.16086242695799,0.0016068523939411342
Adieu,14,72,0.0,4.610728919876078,0.03297050556403641
Walton,11,108,0.0,6.831852815779227,0.057340838190228234
Beaufort,8,51,0.0,5.399761868276464,0.03790621885293914
Paracelsus,10,90,0.0,5.6592546350076764,0.0320496201663639
Albertus Magnus,10,90,0.0,5.6592546350076764,0.0320496201663639
Sir Isaac Newton,6,38,0.0,3.821952345702035,0.01460760166001944
M. Krempe,12,109,0.0,6.007111523113835,0.03198426281108971
Madame Tavernier,13,68,0.0,4.583460062792855,0.03556873040684112
M. Waldman,15,122,0.0,6.030822787713222,0.03629813262520911
Doth,2,15,0.0,4.424589277854316,0.015136867324349518
Poor Clerval,5,37,0.0,4.908226246983848,0.027395797970690312
Dearest Clerval,8,45,0.0,5.520786138643705,0.03301345342493717
Ernest,16,288,0.0,8.284337838277871,0.21005203877804687
Madame Moritz,11,78,0.0,5.320021835432192,0.049000996957140996
Leghorn,7,49,0.0,3.9422827772361058,0.00220196968208383
The pretty Miss Mansfield,13,68,0.0,4.583460062792855,0.03556873040684112
"Justine , poor unhappy Justine",6,34,0.0,4.390884498137108,0.027836996424495875
