character,degree,weighted_degree,betweenness,closeness,eigenvector
Joe,87,3998,0.49572829131652657,18.768881598068162,0.4092256173468849
Pip,101,4639,0.45560224089635853,18.88368721932887,0.4720776908466439
Herbert,84,3366,0.4493697478991596,18.493304760111723,0.25807733753492657
Miss Havisham,74,3637,0.22822128851540616,18.69879725968211,0.4267611933407578
Wemmick,59,1893,0.13942577030812323,18.2050223749281,0.19097018566538138
Mr. Jaggers,63,2103,0.09761904761904762,18.196476535167022,0.23865145488171552
Estella,70,2550,0.06568627450980391,18.206700021132,0.32535600949328036
Mr. Pumblechook,48,1496,0.04880952380952381,17.833123452385326,0.1759529909421398
Sarah Pocket,28,656,0.03249299719887955,16.397928370980978,0.07618186357249566
Mr. Pocket,35,760,0.027240896358543414,15.453429191909485,0.07046829266746903
Mrs. Pocket,31,640,0.021288515406162462,15.290746464892717,0.0406819506897588
Clara,39,669,0.017016806722689074,16.226426228713486,0.04830361549495517
Compeyson,30,408,0.016386554621848737,14.017243210186066,0.03351239432812371
Orlick,39,811,0.016386554621848737,16.31178959679075,0.08797207826999769
Mr. Wopsle,51,1213,0.005602240896358543,17.348838214114,0.13355030124720885
Drummle,26,506,0.00028011204481792715,13.92635749887687,0.036647719049772605
Mr. Waldengarver,11,113,0.0,11.114414043888335,0.0127166708273921
Dear Sir,9,61,0.0,6.075197688189683,0.007730656688346394
Ophelia,5,24,0.0,5.565025093713886,0.003124658046445765
old Bill Barley,24,265,0.0,11.139723775273033,0.017261374723057728
Colonel,6,50,0.0,8.478126990141641,0.007353909798293144
the Finches,19,163,0.0,9.993693777949689,0.013276842087304784
Miss A.,7,58,0.0,6.538076034810663,0.00927715005741731
The Avenger,17,132,0.0,9.795337915980383,0.01371350408269684
that expensive Mercenary,7,43,0.0,5.557548712452437,0.00542461538927133
the Boar,13,77,0.0,7.642712477799854,0.00673743937480054
Amen,11,85,0.0,8.598425409923962,0.008364594763292151
Partickler,8,54,0.0,8.598425409923962,0.0063248469991967655
Ceptin Wopsle,8,56,0.0,9.402938850997188,0.0067418316547112325
XXVII,11,89,0.0,7.364268859043968,0.00807815418572121
