character,degree,weighted_degree,betweenness,closeness,eigenvector
Jim,108,2713,0.9014394242303079,13.016056096525707,0.6147462606701134
Mary Jane,49,686,0.2629614820738371,10.567685506930818,0.08843910029572279
Buck,46,580,0.21142654049491313,11.070887366504037,0.10934663530680844
Aunt Sally,44,858,0.14001066240170598,12.430364204639263,0.35817500017645676
Bill,35,333,0.04798080767692923,9.577674399066536,0.07459096581485986
Pap,42,488,0.02925496468079435,11.521521302772795,0.16118419192413355
Peter,26,304,0.01679328268692523,8.916595837636413,0.022916749319227256
Harvey,17,283,0.01639344262295082,9.053995351637361,0.021463660359892552
Dey,29,272,0.016260162601626015,10.698547450957959,0.08948150901788117
Sherburn,20,179,0.016260162601626015,6.475385905426072,0.04076924599555704
Sarah,8,58,0.016260162601626015,8.136785990265116,0.028558816239942473
Judge Thatcher,30,356,0.016126882580301212,9.87487404057255,0.11703832696606434
Uncle Silas,41,589,0.016126882580301212,11.849821954411057,0.25207323887365907
Abner Shackleford,13,128,0.016126882580301212,6.516492819392954,0.005127267864721273
Silas,10,52,0.016126882580301212,6.873380554908943,0.017594165822571107
Huck (#115),46,699,0.01526056244168999,12.198936928633167,0.2781882167493894
Bob,22,197,0.013861122217779555,9.753163562491084,0.04875013712140168
Jack,27,305,0.013194722111155539,11.00194434584076,0.1094243118332165
Juliet,28,268,0.00046648007463681194,9.214251912783487,0.06928564079122027
George,18,163,0.0001332800213248034,7.725645681140045,0.02487696641527423
Emmeline,12,105,0.00011106668443733616,6.954811233072999,0.016019271600299374
Solomon,25,231,6.66400106624017e-05,8.410463543736089,0.06574738573462484
Ther,13,91,0.0,6.385916342157096,0.017962742150929956
Huck,47,706,0.0,12.317760530132935,0.33621865589518607
Harvey Wilks,9,63,0.0,5.168356314804022,0.0022890199913424337
Poor William,8,24,0.0,2.848387509184762,0.0007885968907985438
Mam,3,23,0.0,4.88485125372135,0.002134903931035137
the Reverend Hobson,3,21,0.0,4.5845497176170085,0.001682455779893838
Mr. Lothrop,4,60,0.0,8.245703390734887,0.006063030859968755
Dr. Robinson,13,135,0.0,6.802749886756951,0.005601409953325149
Wher,14,89,0.0,5.221817871765048,0.0056981346814545504
Levi Bell,13,131,0.0,6.186511918738287,0.0055229797383767295
Peter (#302),9,58,0.0,4.310180031952988,0.0024595414010052732
Susan,18,195,0.0,9.148228225238777,0.014472813676947017
William,19,266,0.0,8.985813189995993,0.02100746359259676
the Royal Nonesuch,10,56,0.0,4.914397459286599,0.011585334544588105
Jim (#290),9,68,0.0,6.384324036838086,0.01496477803297812
Lizabeth,6,57,0.0,7.211882726182362,0.023289927064590352
Colonel Sherburn,1,23,0.0,5.06186280871823,0.0015841215252918226
Gimme,12,83,0.0,7.616275162757433,0.030835865937035967
Edmund Kean the Elder,9,37,0.0,5.000460051918504,0.010465255156474562
Richard III,14,99,0.0,6.83623658692665,0.022195502914009305
the Proctors,9,82,0.0,8.14014926203318,0.012754277837250664
Abram G. Foster,4,18,0.0,3.4908761262002943,0.004588349387867151
the Apthorps,8,52,0.0,4.89647413388831,0.008870979731990384
Nat,8,65,0.0,7.5796581135754995,0.03531842875757137
Miss What,5,27,0.0,4.395797658813368,0.004778334125844133
Old Miss Watson,9,83,0.0,7.222453351195381,0.03928459212413258
