source,target,weight
Huck,Jim,224
Jim,Aunt Sally,224
Jim,Huck (#115),188
Jim,Uncle Silas,125
Uncle Silas,Aunt Sally,96
Jim,Sid,93
Jim,Pap,93
Jim,Jack,68
Mary Jane,Susan,67
Jim,Mars Tom,62
Mary Jane,Harvey,58
Jim,Dey,58
Mary Jane,William,57
Aunt Sally,Sid,55
Jim,Buck,53
Peter,William,51
Mary Jane,Peter,51
Jim,Doan,50
Jim,Aunt Polly,48
Huck,Aunt Sally,46
Uncle Silas,Sid,45
Buck,Harney,43
Huck (#115),Jack,42
Jim,Jim (#165),42
Jim,Ben Rogers,42
Jim,Aunty,41
Buck,Miss Sophia,40
Jim,Judge Thatcher,39
Judge Thatcher,Pap,39
Jim,Mary Jane,38
William,Harvey,38
Huck,Huck (#115),37
Mary Jane,Mr. Lothrop,37
Peter,Harvey,37
Huck,Uncle Silas,36
Jim,Bob,36
Mary Jane,the Proctors,35
Jim,Jo Harper,34
Jim,Bill,33
Jim,the Snake Old Hank Bunker,33
Jim,Sis,33
Huck,Judge Thatcher,33
Jim,Sollermun,32
Harney,Miss Sophia,32
Jim,Le,32
Jim,De,32
Jim,Shucks,31
Jim,Juliet,30
Bill,Jim (#184),29
Juliet,Romeo,29
Aunt Sally,Aunty,27
Buck,Bob,27
Jim,Bilgewater,26
Huck (#115),Jim (#165),26
Huck (#115),Sollermun,26
Huck (#115),Judge Thatcher,26
Aunt Sally,Aunt Polly,25
Aunt Sally,Sis,25
Aunt Polly,Sid,24
Jim,Pa,24
Jim,Looky,24
Mary Jane,Jo Harper,24
Buck,Shepherdsons,24
Huck (#115),Pap,23
Jim,Solomon,23
Abner Shackleford,Dr. Robinson,23
Bill,Packard,23
Jim,Tom,23
Sherburn,Colonel Sherburn,23
Jo Harper,Ben Rogers,22
Bill,Buck,22
Jim,Phelps,22
Solomon,Sollermun,22
Huck,Mars Tom,22
Jim,Sarah,21
Huck (#115),Doan,21
Judge Thatcher,Aunt Polly,21
Jim,Harney,21
Pap,the Snake Old Hank Bunker,20
Jim,Romeo,20
Jim,Providence,19
Huck (#115),Ben Rogers,19
Jim (#165),Le,19
Juliet,Richard III,19
Jim (#184),Packard,19
Pap,Juliet,19
Jim,Mr. Archibald Nichols,19
Harvey,Levi Bell,18
Huck (#115),Dey,18
Jim,Nat,18
Jim,goodness,18
Buck,Emmeline,18
Mary Jane,Dr. Robinson,18
Jim,Gimme,18
Mrs. Phelps,Sis,18
Mr. Archibald Nichols,Aunt Sally,18
Huck,Pap,18
George,Peter,18
Aunt Sally,Mrs. Phelps,18
George,Harvey,17
Romeo,Richard III,17
Jim,Moses,17
Harvey,Susan,17
George,William,17
Huck (#115),Solomon,17
Jim,Dad,17
Jim,George,17
Doan,Jack,17
Huck (#115),De,17
Jim,Sid (#367),16
Uncle Silas,Aunt Polly,16
Jim,Huck The Duke,16
Mary Jane,Abner Shackleford,16
Pap,Jo Harper,16
Buck,Jack,16
Buck,Jo Harper,16
Pap,Cain,16
Buck,the Grangerfords,16
Jim,Old Miss Watson,16
Mary Jane,George,16
Dey,Jack,16
Jim,the Widow Douglas,16
Jack,Dah,16
Huck (#115),Providence,16
Shepherdsons,the Grangerfords,16
Aunt Polly,Sis,16
Jim,Dah,16
Levi Bell,Dr. Robinson,16
Jim,Cain,16
Abner Shackleford,Levi Bell,16
Jim,Lizabeth,16
Jo Harper,Susan,16
Mary Jane,Shucks,16
Aunt Sally,Brer Phelps,16
Peter,Dr. Robinson,16
Huck,Huck The Duke,16
Aunt Sally,Old Miss Watson,16
Mary Jane,Ther,16
Buck,Mars Saul,16
Peter,Levi Bell,15
William,Susan,15
Aunt Sally,Silas,15
Aunt Sally,Lize,15
Moses,Buck,15
Buck,Sherburn,15
Moses,Huck (#115),15
Jim,Whoever,15
Huck,Aunt Polly,15
Jim,Miss Hooker,15
Jim,Ai,15
Jim,Richard III,14
Dey,De,14
Peter,Abner Shackleford,14
Mary Jane,Levi Bell,14
Mary Jane,Aunt Sally,14
Judge Thatcher,Uncle Silas,14
Judge Thatcher,Aunt Sally,14
Harvey,Dr. Robinson,14
Moses,Judge Thatcher,14
Uncle Silas,Miss ’ Sally,14
Jim,Miss Sophia,14
Pap,Jim (#290),14
Aunt Sally,Whoever,14
Huck,the Snake Old Hank Bunker,14
Huck (#115),Dah,14
Aunt Sally,old Mrs. Damrell,14
Buck,Dey,14
Uncle Silas,Brer Phelps,14
Uncle Silas,Sis,13
Pap,Lizabeth,13
William,Ther,13
Sister Hotchkiss,old Mrs. Damrell,13
Mary Jane,Hines,13
Aunt Sally,Sister Hotchkiss,13
Jim,Lady Jane Grey,13
Harvey,Abner Shackleford,13
Aunt Sally,Sid (#367),13
Buck,Mars Jawge,13
Huck,Gimme,12
Aunt Polly,Old Miss Watson,12
Mary Jane,Sid,12
Peter,Harvey Wilks,12
Jim,Silas Phelps,12
Bilgewater,Romeo,12
Shepherdsons,Miss Sophia,12
Buck,Henry,12
Miss Sophia,the Grangerfords,12
Miss Sophia,Mars Jawge,12
Juliet,Bilgewater,12
Jim,Mrs. Phelps,12
Uncle Silas,Nat,12
Sollermun,Jack,12
Wher,Harvey,12
Ben Rogers,Little Tommy Barnes,11
Harney,Emmeline,11
Providence,Phelps,11
Wher,Peter,11
Jim,Mister,11
Pap,Romeo,11
Solomon,Jack,11
Judge Thatcher,General Washington,11
Jim,Little Tommy Barnes,11
Sid,Mrs. Phelps,11
Jim (#165),De,11
Bob,Shepherdsons,11
Bob,Betsy,11
Bob,George,11
Huck,Ben Rogers,10
Jim,Mr. Mark Twain,10
William,Levi Bell,10
Doan,Lizabeth,10
Huck,Mary Jane,10
Aunt Sally,Dear,10
Buck,Juliet,10
Huck,Sid,10
Huck (#115),Jo Harper,10
Pap,Le,10
Jack,generly,10
Bill,Ai,10
Aunt Sally,Nat,10
Sid,Old Miss Watson,10
Harvey,the Proctors,10
Mary Jane,Wher,10
Aunt Sally,Thomas Franklin Benjamin Jefferson Elexander Phelps,9
old Mrs. Damrell,Brer Phelps,9
Buck,Young Stephen Dowling Bots,9
Harney,Dey,9
Huck,Phelps,9
Bill,generly,9
Dey,Miss Sophia,9
Jim,Brer Phelps,9
William,Harvey Wilks,9
Jim,Thomas Franklin Benjamin Jefferson Elexander Phelps,9
Jim (#290),the Royal Nonesuch,9
Providence,Mrs. Phelps,9
Mary Jane,Mam,9
Susan,Mam,9
Wher,William,9
Mary Jane,the Apthorps,9
Jim,Emmeline,9
Bob,Emmeline,9
Jim,Jim (#184),9
Jim,old Mrs. Damrell,9
Henry,generly,9
Peter,the Apthorps,9
George,Wher,9
Buck,Pa,8
Harvey,Peter (#302),8
Sister Hotchkiss,Brer Phelps,8
Henry,Gimme,8
Buck,Col,8
Young Stephen Dowling Bots,Alas,8
Buck,the Widow Douglas,8
Mars Saul,Miss Sophia,8
Buck,Bud,8
Buck,Poor Emmeline,8
Betsy,Mars Saul,8
Emmeline,Poor Emmeline,8
Spidery,Juliet,8
George,Betsy,8
Miss Hooker,George,8
Buck,generly,8
Emmeline,Miss Sophia,8
Spidery,Sherburn,8
Spidery,Mr. Archibald Nichols,8
Spidery,Uncle Silas,8
Spidery,Aunt Sally,8
Harney,Juliet,8
Harney,Sherburn,8
Miss Hooker,Miss What,8
Harney,Mr. Archibald Nichols,8
Harney,Uncle Silas,8
Harney,Aunt Sally,8
Emmeline,Col,8
Jo Harper,Little Tommy Barnes,8
old Mrs. Damrell,Sister Utterback,8
Peter,the Reverend Hobson,8
Sollermun,Sherburn,8
Sollermun,Juliet,8
Sollermun,Harney,8
Sollermun,Spidery,8
Sollermun,Buck,8
Solomon,Louis Sixteenth,8
Solomon,Aunt Sally,8
Pa,Sid (#367),8
Solomon,Uncle Silas,8
Solomon,Mr. Archibald Nichols,8
Peter,the Proctors,8
Solomon,Sherburn,8
Solomon,Juliet,8
Solomon,Harney,8
Sollermun,Mr. Archibald Nichols,8
Sollermun,Uncle Silas,8
Sollermun,Aunt Sally,8
Jim (#290),Mr. Lothrop,8
Sollermun,Dah,8
Sollermun,Doan,8
Sollermun,De,8
Sollermun,Dey,8
Buck,Spidery,8
Lizabeth,Jim (#290),8
Romeo,Edmund Kean the Elder,8
Buck,Mr. Archibald Nichols,8
Buck,Uncle Silas,8
Sister Hotchkiss,Sister Utterback,8
Buck,Betsy,8
generly,Gimme,8
Buck,Ai,8
Buck,Aunt Sally,8
Jim (#184),Ai,8
Harney,Shepherdsons,8
Dr. Robinson,Harvey Wilks,8
Yo,Dey,8
Dey,Bob,8
Susan,Ther,8
Harvey,Ther,8
Levi Bell,Harvey Wilks,8
Dey,Jim (#184),8
Solomon,Spidery,8
Dey,er ole Mars Silas,8
Dey,Mars Tom,8
General Washington,Looky,8
Looky,Miss Hooker,8
Cain,Henry,8
Uncle Silas,Mrs. Phelps,8
Cain,Thomas Franklin Benjamin Jefferson Elexander Phelps,8
Sid,Dad,8
Aunt Sally,Ther,8
Shucks,Harvey,8
Aunt Sally,Cain,8
Aunt Polly,Jo Harper,8
Jo Harper,Providence,8
the Widow Douglas,Col,8
the Widow Douglas,Emmeline,8
Aunt Polly,Mrs. Phelps,8
Jo Harper,Miss Sophia,8
Jo Harper,Henry,8
Aunt Polly,the Widow Douglas,8
