character,degree,weighted_degree,betweenness,closeness,eigenvector
Jane,103,4271,0.6615021256495041,17.518081905910602,0.46030863835508035
Mr. Rochester,101,4805,0.5231459612659424,17.416100634379102,0.49750343607712116
St. John,66,2501,0.26452527161076994,16.813062093770792,0.2518340896995938
Bessie,72,2155,0.18105810108644307,16.717165162503697,0.19510299382207433
Mrs. Reed,65,1751,0.1711384034010392,16.65783139528571,0.13877678913233674
Miss Temple,31,829,0.11138403401039207,14.992431425721307,0.0531869349784175
Mrs. Fairfax,113,3764,0.10727444496929617,17.301243038016473,0.45270704250559946
Helen,26,633,0.05399149740198394,14.848713981453445,0.038588170553871724
Miss Ingram,50,1269,0.04048181388757676,16.242852922096244,0.13117321249000874
Mary,40,1217,0.027302786962683043,15.988660072292905,0.12530013554128372
Diana,30,1245,0.027208313651393482,16.071340267171582,0.129908890652184
Eliza,32,636,0.026877657061880018,14.315681761988264,0.051280504615772715
Sam,26,295,0.013604156825696741,10.869007662043051,0.016544308381584678
Lord Ingram,31,486,0.01350968351440718,13.2562254051224,0.027045955637899216
Jane (#250),28,461,0.013226263580538498,12.96985762734374,0.041355242826640715
Mr. Briggs,23,384,0.011620217288615967,13.713183537940958,0.043050304502417265
Mr. Brocklehurst,41,671,0.008455361360415683,14.607905105513742,0.04740721891253598
Colonel Dent,35,853,0.0005668398677373641,15.208267224945189,0.06550888062217053
Georgiana,28,534,0.00023618327822390176,13.832924743424595,0.04278912673160644
John (#375),21,225,0.0001889466225791214,9.372406444993954,0.01937154171506554
Pilot,36,553,9.44733112895607e-05,15.05529274662453,0.08287769930141892
Miss Scatcherd,18,261,9.44733112895607e-05,12.214008111201519,0.007107083087555938
Mr. Eyre,20,181,9.44733112895607e-05,8.25166226700249,0.013312144850428198
Providence,18,167,4.723665564478035e-05,8.510855664073278,0.017431229529155656
Mrs. Rochester,20,283,0.0,12.656887454538804,0.03722140281536356
the rigorous Sibyl,10,62,0.0,6.1403090481563,0.0013089659136919169
old Madam Reed,9,61,0.0,5.586973935136024,0.006390108758209114
Mr. Gibson,9,74,0.0,7.585553569083192,0.006862925395310615
the Misses Eshton,27,233,0.0,10.165792057967412,0.01793151235282034
Miss Mary,13,98,0.0,6.937928419490649,0.002336592933574243
Richard,26,418,0.0,13.365228201638617,0.041126869723736185
Mother,16,94,0.0,8.368897534637206,0.009678131295316927
Mesrour,26,187,0.0,9.953319846902238,0.019291823642272287
Mr. Eshton,31,533,0.0,12.705807549349844,0.02993327985800397
Sir George Lynn,34,469,0.0,12.953052194329633,0.03599157294204222
Mrs. Eshton,26,370,0.0,11.228499677836863,0.021811766946521993
the Honourable Blanche,13,87,0.0,8.368897534637206,0.010280369805963476
Mary Ingram,27,373,0.0,11.486984437860011,0.020590358821527117
Blanche,34,583,0.0,13.923598754358904,0.045819083238773706
Amy Eshton,28,599,0.0,13.240109580260983,0.0318116233601528
Mason,39,788,0.0,15.922824942592195,0.10543797968637077
Louisa,30,651,0.0,13.694534892763818,0.03616405933257381
Mary (#316),17,273,0.0,10.504495386023502,0.01759502117834269
Lady Ingram,27,485,0.0,12.111228774360491,0.029234510625197774
Jane (#386),17,312,0.0,13.560560665498025,0.03927351532356213
Miss Wilson,9,48,0.0,5.749114554744446,0.0023445809549766804
Donna Bianca,6,37,0.0,5.9681860636037865,0.0035286559077456264
Mrs. Dionysius O’Gall of Bitternutt Lodge,6,43,0.0,8.392374179699601,0.007569623338256249
Lowood,24,241,0.0,10.453906899379096,0.016360586297736464
King Ahasuerus,6,51,0.0,8.110699972807296,0.007867640496049775
Mr. St John,6,65,0.0,9.17906124794105,0.005820286782232832
Miss,8,42,0.0,4.464153137344779,0.0034810420662799635
Mr.,4,42,0.0,8.907978633271801,0.00937917008875616
John (#483),10,65,0.0,8.89462640315459,0.006915937732216453
Hindostanee,6,75,0.0,10.388431333855973,0.008748909658117877
Marmion,7,48,0.0,8.227102030639477,0.003529291690306483
Schiller,11,105,0.0,9.558330724578676,0.00989182377894152
Rosamond,10,149,0.0,12.26277950339644,0.012845638103787273
Papa,8,71,0.0,8.721999937436246,0.004146544864854162
Die,8,93,0.0,10.236228464036616,0.012183883021411785
Christian,9,88,0.0,9.914846939529967,0.007113860779979395
Miss Oliver,14,253,0.0,13.537102175254775,0.016332006740594117
Jesus,9,57,0.0,8.227102030639477,0.0044272790614769365
Zealous,7,48,0.0,6.20152444169624,0.004226068043031625
Carlo,12,168,0.0,11.584871095053295,0.01421204422416188
Miss Elliott,4,51,0.0,8.231501832714883,0.0042305792610488864
Wood,15,156,0.0,11.305299361020603,0.016516659863336423
Morton,18,301,0.0,13.968595420367572,0.029814739054068597
Mary (#434),11,162,0.0,11.873652156329698,0.014696419787173317
Mak,2,14,0.0,6.54318567695422,0.0011816399257977513
Jane Elliott,15,199,0.0,12.473773166232913,0.019178862254733715
Mr. Oliver,16,242,0.0,13.104334589945251,0.01790982436768703
Little Jane,4,16,0.0,5.02607163069626,0.003428629915589596
Clara,9,65,0.0,6.4833072066608946,0.0072729858346689755
Giacinta,9,65,0.0,6.4833072066608946,0.0072729858346689755
Messalina,9,51,0.0,6.043481647491956,0.00582516987331559
Miss Mason,7,45,0.0,5.540006448375097,0.00660439888535596
Reader,11,89,0.0,10.65334472111304,0.01668078609931271
Bertha Mason,20,242,0.0,12.50160325611829,0.03148592339206779
Mrs. Poole,17,319,0.0,12.407268857397577,0.0383876400577955
Edward Fairfax Rochester,14,125,0.0,10.293979438456708,0.016066474482858265
Ferndean,15,107,0.0,9.940496331777288,0.013496375724049292
Hay,24,176,0.0,7.172881834667177,0.011277109194559567
Céline,13,139,0.0,10.056798858323445,0.018252938553351868
Mr. Edward,18,199,0.0,13.24934675213973,0.03258037273494007
Miss Miller,12,136,0.0,10.69035853553908,0.004460775135701116
Theodore,14,76,0.0,5.505423260298657,0.003474537932924566
Augusta,7,70,0.0,8.016725244153196,0.004591687467488909
Uncle Reed,8,44,0.0,5.430801307996575,0.0036101660589082903
Miss Georgiana,22,323,0.0,12.508714563474554,0.027645384084813946
Poor Miss Jane,9,56,0.0,5.899279319290536,0.0028316668224972604
Aunt Reed,13,151,0.0,12.029590183278827,0.01578829988958885
Ca,4,22,0.0,5.436092381190383,0.002519568893711537
Heaven,7,69,0.0,9.714158159822526,0.01365112966835478
Gulliver,15,98,0.0,7.937944072855401,0.00603610832855543
the Reeds,15,112,0.0,9.91415136258465,0.0047193315203396344
