source,target,weight
Mrs. Fairfax,Mr. Rochester,666
Jane,Mr. Rochester,619
Jane,Mrs. Fairfax,467
Adèle,Mr. Rochester,346
St. John,Diana,338
St. John,Mary,303
Mary,Diana,287
Jane,St. John,269
Mrs. Fairfax,Adèle,247
Mrs. Fairfax,St. John,244
Jane,Bessie,226
Jane,Mrs. Reed,222
Mr. Rochester,Miss Ingram,220
Bessie,Mrs. Reed,217
Jane,Adèle,195
Mr. Rochester,Mason,182
Mrs. Fairfax,Bessie,179
St. John,Mr. Rochester,157
Miss Temple,Helen,139
Grace Poole,Mr. Rochester,135
Mr. Brocklehurst,Miss Temple,127
Jane,Diana,114
Jane,Janet,114
Mr. Rochester,Colonel Dent,112
Mrs. Fairfax,Grace Poole,110
Sophie,Mr. Rochester,108
Pilot,Mr. Rochester,108
Jane,Mary,104
Jane,Mason,103
Bessie,Mr. Rochester,101
Missis,Bessie,94
Eliza,Mrs. Reed,93
Janet,Mr. Rochester,92
Carter,Mr. Rochester,91
St. John,Bessie,90
Mrs. Fairfax,Sophie,89
Mr. Brocklehurst,Mrs. Reed,89
Colonel Dent,Miss Ingram,88
Abbot,Mrs. Reed,88
Mrs. Fairfax,Miss Ingram,87
Abbot,Bessie,85
Eliza,Bessie,84
Mrs. Fairfax,Diana,84
John,Mrs. Reed,83
Jane,Miss Temple,83
St. John,Morton,82
Jane,Miss Ingram,82
Eliza,Georgiana,81
Jane,Helen,80
Sophie,Adèle,78
Georgiana,Mrs. Reed,76
Adèle,Pilot,74
Mrs. Fairfax,Pilot,73
Amy Eshton,Louisa,73
Mrs. Fairfax,Mary,71
Mrs. Fairfax,Janet,71
Jane,Grace Poole,70
Carter,Mason,69
St. John,Miss Oliver,69
Georgiana,Bessie,69
Mr. Rochester,Blanche,68
Jane,Mr. Brocklehurst,68
Miss Scatcherd,Helen,67
Jane,Carter,67
Mrs. Fairfax,Mrs. Reed,67
Bessie,Adèle,66
Mr. Brocklehurst,Helen,64
John,Bessie,63
Bessie,Grace Poole,63
Mr. Rochester,Louisa,60
St. John,Mr. Briggs,60
Mr. Rochester,Mr. Briggs,60
Mr. Rochester,Jane (#386),60
Miss Temple,Mrs. Reed,60
St. John,Mr. Oliver,59
Mrs. Reed,Mr. Rochester,58
Grace Poole,Adèle,57
Mr. Rochester,Richard,57
Jane,Pilot,56
Miss Ingram,Louisa,55
Miss Ingram,Amy Eshton,55
Mr. Edward,Mr. Rochester,55
Grace Poole,Mason,55
Jane,Eliza,53
Mr. Lloyd,Bessie,53
Mr. Rochester,Lord Ingram,53
Adèle,Miss Ingram,53
Mrs. Fairfax,Mason,52
Mr. Rochester,Amy Eshton,52
Bessie,Sophie,52
Colonel Dent,Louisa,51
Bessie,Robert,51
Jane,Mr. Lloyd,51
Mr. Rochester,Sir George Lynn,50
Eliza,John,50
Richard,Mason,50
Thornfield,Mrs. Fairfax,49
Missis,Mrs. Reed,49
Jane,Missis,49
Miss Georgiana,Bessie,49
Colonel Dent,Amy Eshton,48
Mrs. Reed,Helen,48
Mary,Mr. Rochester,48
St. John,Jane Elliott,48
Jane (#250),Mr. Rochester,47
Adèle,Janet,47
Mrs. Fairfax,Mr. Brocklehurst,47
Mr. Eshton,Colonel Dent,47
Mr. Rochester,Mrs. Rochester,46
Janet,Jane (#386),46
Mrs. Fairfax,Miss Temple,46
Grace Poole,Mrs. Poole,46
Jane,Richard,45
Mr. Rochester,Mr. Eshton,45
St. John,Rosamond,45
Jane,Abbot,45
Miss Temple,Miss Scatcherd,45
Mr. Rochester,Bertha Mason,44
Mr. Lloyd,Mrs. Reed,44
Colonel Dent,Lady Ingram,44
Mrs. Fairfax,Jane (#386),44
Mr. Reed,Mrs. Reed,43
Mrs. Fairfax,Mrs. Poole,43
Aunt Reed,Mrs. Reed,43
Miss Georgiana,Mrs. Reed,42
St. John,Jane (#250),42
St. John,Adèle,42
Bessie,Jane (#250),41
Diana,Mary (#434),41
Grace Poole,Sophie,41
Miss Ingram,Lady Ingram,41
Mr. Rochester,Mrs. Poole,41
Mr. Eshton,Louisa,40
St. John,Mary (#434),40
Miss Ingram,Blanche,40
Lord Ingram,Miss Ingram,40
Colonel Dent,Blanche,39
Mary,Morton,39
John,Georgiana,39
Mr. Rochester,Lady Ingram,38
Lord Ingram,Colonel Dent,38
Diana,Jane Elliott,37
St. John,Carlo,37
Lord Ingram,Amy Eshton,37
Mrs. Fairfax,Mrs. Rochester,37
Miss Temple,Miss Miller,37
Jane,Miss Georgiana,37
Lord Ingram,Louisa,36
Henry Lynn,Colonel Dent,35
Jane,Georgiana,35
Jane,Aunt Reed,35
Henry Lynn,Mr. Rochester,35
