character,degree,weighted_degree,betweenness,closeness,eigenvector
Ahab,165,5124,0.6633272616879173,10.355910091926853,0.4901390697466978
Stubb (#771),141,3865,0.22388630281769323,10.247823077806077,0.415821686704987
God,134,2146,0.21960804155703975,10.126481507194368,0.19459177383537157
Queequeg,125,2500,0.1907733477253817,10.017322669781565,0.22661170840122688
the Pequod,156,3003,0.1724684611752007,10.215096978522755,0.321857828300514
Leviathan,101,978,0.14225640333715625,8.758546506154119,0.04015575197852266
the Sperm Whale,90,1121,0.11542872562908993,9.54585588718983,0.08916517818884964
Moby Dick,88,1773,0.08608243945220266,10.04210877117728,0.21255088311094453
Starbuck,112,3304,0.06047471272122153,10.22715537040146,0.4026270156343669
Jonah,65,545,0.06024421507117318,8.030699407224763,0.012266504330523826
Lima,31,468,0.040219028986484974,6.8528403538350355,0.008056078004791013
Sperm Whales,61,469,0.03784658975915807,7.778610014572885,0.018447557922417635
the Nantucketer,51,383,0.029396883222019835,8.127009252087777,0.025334862939162196
Cook,15,113,0.02880658436213992,8.00854449164209,0.010726752731131151
the Samuel Enderby,24,172,0.022330162585171693,7.623220736476024,0.013790107792499088
Tashtego,86,1441,0.020171355326182284,9.750019097442056,0.15666664606364075
Peleg,35,714,0.01612921360948076,9.354041961600322,0.07018014880627194
Daggoo,66,1069,0.016022397625312015,9.5214924443867,0.12538504615489154
Ishmael,60,466,0.015853740808203468,7.724663575445699,0.02614727563025235
Man,25,216,0.015853740808203468,7.688674643020196,0.024107782918741636
Lionel,31,209,0.013492545368683804,5.494420004678843,0.011816732307794146
Thomas Jefferson,10,49,0.013121500371044998,3.498962508094208,0.0001480397590300984
Colnett,27,180,0.011063887202320719,5.372459961823974,0.002203340835605538
Jove,52,451,0.009191796532415841,7.574157141486951,0.028926565078480054
the Bull,27,175,0.008331646765162248,4.66737780384057,0.010167566072488836
Carpenter,16,136,0.00819672131147541,6.859928832174765,0.013158588851212051
Nay,20,149,0.007960601767523444,6.831107312314412,0.011755728698734768
Peter Coffin,19,121,0.007926870404101734,7.01946704390662,0.0042369756245365965
Flask,91,1991,0.007567069194270165,10.000425044093134,0.2567927388078608
Rachel,35,328,0.006746272684341902,8.241708419738005,0.03019293704814574
Cetology,24,232,0.006341496323281387,6.750170806805176,0.01201607922136327
Solomon,29,183,0.004688659515617622,5.768947331996741,0.0070792744078867365
Owen,33,217,0.001652836807663766,5.218699805506181,0.005359947483136478
Frederick Cuvier,43,336,0.001096269311205559,6.522308985751907,0.00893724088512221
Scoresby,43,338,0.0010625379477838496,6.197226953035903,0.008072426013394
Miriam Coffin,28,147,0.0004385077244822236,4.966338933590277,0.005742749602831699
Cain,18,103,0.0004047763610605141,4.57989653771939,0.0031822872242816018
J. Ross Browne,32,231,0.00035417931592794986,5.399136637889164,0.003349768576565823
Emperors,45,259,0.00026985090737367606,5.5031115298338396,0.011379545068247796
old Scotch Sibbald,38,249,0.00021363196833749354,5.131484744307747,0.005644380872770511
Macey,33,237,0.00016865681710854754,6.380508104193323,0.013955932880907513
Hercules,27,166,0.00016865681710854754,5.039735316541995,0.0048019102264614125
Charley Coffin,22,102,0.00015179113539769278,4.031201100624385,0.0005036780230225513
Bildad,28,599,0.00014054734759045626,9.061040728280734,0.05882850918670464
EZEKIEL HARDY,21,112,0.00013492545368683803,4.587596382596735,0.001965130651511207
the Narwhale,7,51,0.00013492545368683803,4.106717186878668,0.00045722375160240015
Hackluyt,20,108,0.00013492545368683803,4.524924131568921,0.002500049144851883
Stubb,14,134,0.00010119409026512852,6.201693212277702,0.012381379474688488
Perseus,40,271,8.995030245789202e-05,6.013361526732206,0.008765627821498256
Fedallah,53,882,8.432840855427377e-05,9.583572510654848,0.11121935578460924
Steelkilt,28,426,7.870651465065551e-05,6.73102719618123,0.007160077077067138
Loose - Fish,4,30,6.746272684341901e-05,3.9682857624486565,0.0001548446243512574
Linnæus,19,148,6.746272684341901e-05,4.783134969402606,0.0017164056445921438
St. Paul,23,124,6.746272684341901e-05,5.3884155943834555,0.008514784152243311
Noah,29,168,6.746272684341901e-05,6.497472064562337,0.01199558571910915
little King - Post,40,390,6.746272684341901e-05,8.271501487025478,0.039247162059246374
John Hunter,25,134,6.746272684341901e-05,4.254697405705852,0.001487371256749179
Pip,29,201,6.746272684341901e-05,6.309198885518538,0.01646705652549249
ROBERT LONG,13,68,6.746272684341901e-05,4.82472344123008,0.002011495238233638
Beale,47,346,5.059704513256426e-05,5.797117596890727,0.01248469931195012
Langsdorff,12,54,3.373136342170951e-05,3.3204812366175225,0.0005538541376411387
Mrs. Hussey,20,190,3.373136342170951e-05,8.03809511417963,0.009742612610047796
the little Moss,11,63,3.373136342170951e-05,4.789986469085812,0.002833032638579217
Alexander the Great,19,118,3.373136342170951e-05,5.869430568407118,0.010029689531672537
Derick,23,277,3.373136342170951e-05,7.936648008201001,0.032607450309582786
Dan Coopman,9,37,3.373136342170951e-05,3.4339583058899907,0.0014971270457756966
Andromeda,27,173,1.1243787807236502e-05,5.77407235645213,0.0015283564628704753
