source,target,weight
Ahab,Starbuck,515
Ahab,Stubb (#771),497
Ahab,the Pequod,411
Starbuck,Stubb (#771),409
Flask,Stubb (#771),298
Moby Dick,Ahab,297
the Pequod,Stubb (#771),272
Ahab,God,254
Ahab,Flask,242
Flask,Starbuck,237
Starbuck,the Pequod,221
Starbuck,Queequeg,201
Ahab,Queequeg,194
Queequeg,the Pequod,167
Queequeg,Stubb (#771),154
Moby Dick,Starbuck,154
Starbuck,God,143
Ahab,Tashtego,143
Ahab,the White Whale,141
Moby Dick,Stubb (#771),136
Tashtego,Daggoo,130
Peleg,Bildad,129
Ahab,Fedallah,125
Stubb (#771),Tashtego,125
Queequeg,Tashtego,124
Flask,the Pequod,122
God,Stubb (#771),119
Queequeg,Daggoo,112
Moby Dick,the White Whale,107
God,the Pequod,106
Fedallah,Stubb (#771),105
Moby Dick,the Pequod,104
Moby Dick,God,103
Ahab,Daggoo,101
Lima,Steelkilt,100
the Pequod,Peleg,100
Ahab,the Parsee,98
the Sperm Whale,Stubb (#771),94
Stubb (#771),Daggoo,93
Starbuck,Tashtego,92
Flask,Queequeg,89
Starbuck,Daggoo,88
Queequeg,Peleg,86
the Sperm Whale,the Pequod,81
the Pequod,Tashtego,80
Fedallah,Flask,80
Ahab,Peleg,76
Ahab,Pip (#1207),73
the Pequod,Bildad,73
Queequeg,God,72
Stubb (#771),the White Whale,72
the Sperm Whale,Ahab,72
Queequeg,Bildad,70
Ahab,Perth,63
Lima,Radney,62
Radney,Steelkilt,62
Ahab,Bildad,62
Fedallah,Starbuck,61
Starbuck,the Parsee,61
Stubb (#771),Pip (#1207),60
Flask,Tashtego,60
Starbuck,the White Whale,56
the Pequod,Daggoo,54
Flask,Daggoo,54
Moby Dick,Flask,54
Moby Dick,Fedallah,54
Moby Dick,Tashtego,54
Stubb (#771),Dough - Boy,50
Queequeg,Elijah,48
Queequeg,Yojo,48
Flask,God,47
Lima,Don Sebastian,46
Stubb (#771),the Parsee,44
Moby Dick,Daggoo,44
Moby Dick,the Parsee,43
Sperm Whales,Leviathan,42
Stubb (#771),Fleece,42
the Sperm Whale,Queequeg,42
the Sperm Whale,Leviathan,41
the Sperm Whale,Tashtego,41
God,Tashtego,41
Fedallah,the Pequod,41
Ahab,little King - Post,40
Ahab,Dough - Boy,40
Ahab,Hast,40
God,Pip (#1207),40
Queequeg,Mrs. Hussey,40
Ahab,Rachel,39
Flask,little King - Post,39
Flask,the White Whale,38
Leviathan,God,37
Leviathan,the Pequod,37
Don Sebastian,Steelkilt,37
God,the White Whale,37
Moby Dick,the Sperm Whale,36
Ahab,the Nantucketer,36
Stubb (#771),little King - Post,36
Cook,Stubb (#771),35
Starbuck,Dough - Boy,35
Leviathan,Jonah,35
Stubb (#771),Derick,34
the Pequod,Derick,34
Moby Dick,Queequeg,33
Starbuck,Derick,33
Tashtego,the Gay - Header,33
Lima,Don Pedro,32
Queequeg,Ishmael,32
the Pequod,Pip (#1207),31
Peleg,Stubb (#771),31
Fedallah,the White Whale,31
Starbuck,little King - Post,31
Queequeg,Pip (#1207),31
Ahab,Mayhew,30
the Sperm Whale,Starbuck,30
Ahab,Hark,30
Stubb (#771),Elijah,30
Starbuck,Hurrah,30
Radney,the Lakeman,30
Queequeg,the Gay - Header,30
Steelkilt,the Lakeman,30
Tashtego,Tash,30
the Pequod,the White Whale,30
Hurrah,Stubb (#771),30
Ahab,Elijah,30
Lima,the Lakeman,30
Ahab,Man,29
God,Jonah,29
Queequeg,Leviathan,29
Don Pedro,Steelkilt,28
Bildad,Stubb (#771),28
Flask,Derick,28
Fedallah,Queequeg,28
Ahab,the Samuel Enderby,28
Gabriel,Mayhew,28
Starbuck,Pip (#1207),28
Leviathan,Stubb (#771),27
the Pequod,Dough - Boy,27
the Pequod,Elijah,27
Queequeg,Aunt Charity,27
Ramadan,Queequeg,27
Cook,Fleece,27
Ahab,Gabriel,27
God,the Parsee,27
Queequeg,Dough - Boy,27
God,Ishmael,26
Ahab,Halloa,26
Ahab,Jove,26
Tashtego,Dough - Boy,26
Don Sebastian,Radney,26
Ahab,Manxman,26
Hark,Stubb (#771),26
Sperm Whales,God,26
the Sperm Whale,Flask,26
God,Adam,25
Daggoo,the White Whale,25
Scoresby,Frederick Cuvier,25
Stubb (#771),Archy,25
Flask,Hurrah,25
Cabaco,Archy,25
Yojo,the Pequod,24
Starbuck,Mary,24
the Nantucketer,the Pequod,24
Ahab,NANTUCKET SAILOR,24
Fedallah,Tashtego,24
the Pequod,Hast,24
Joppa,Jonah,24
Stubb (#771),the old Mogul,24
Tashtego,the Parsee,24
Ahab,Mary,24
Ahab,Fate,24
the Sperm Whale,Jonah,23
Ishmael,Jove,23
the Pequod,the Parsee,23
Starbuck,Bildad,23
Jungfrau,Derick,23
Leviathan,Frederick Cuvier,23
Starbuck,Peleg,23
Queequeg,Peter Coffin,23
Ahab,Heaven,23
Mrs. Hussey,Yojo,23
Starbuck,Mayhew,23
Jonah,Perseus,22
Ahab,the old Mogul,22
Ahab,the Jeroboam,22
Fedallah,the Parsee,22
Flask,Cabaco,22
Stubb (#771),Rachel,22
Hark,Flask,22
Ahab,Ishmael,22
Ahab,Archy,22
Starbuck,Leviathan,22
Moby Dick,Nay,21
Stubb (#771),Cabaco,21
Ahab,the Burtons,21
Daggoo,the Gay - Header,21
Queequeg,the Parsee,21
Ahab,Captain Boomer,21
Tash,the Gay - Header,21
Queequeg,Tash,21
Ahab,Ere,21
Derick,the Yarman,21
Starbuck,the Burtons,21
Daggoo,the Parsee,21
Don Pedro,Don Sebastian,21
Queequeg,Holloa,21
Stubb (#771),Jungfrau,21
Ahab,Cabaco,21
Tashtego,the White Whale,21
Flask,Archy,21
Stubb (#771),the Yarman,21
the Pequod,Aunt Charity,21
Starbuck,the Yarman,21
God,Daggoo,21
Stubb (#771),Bouton - de - Roses,20
Ahab,Carpenter,20
Ahab,Bunger (#1263),20
the Pequod,Dost,20
Jove,Stubb (#771),20
Lima,Moby Dick,20
Lima,Senor,20
Ahab,Ho,20
Queequeg,the White Whale,20
the Jeroboam,Mayhew,20
God,Tarshish,20
Ramadan,Yojo,20
Flask,Dough - Boy,20
Tarshish,Jonah,20
Leviathan,Isaiah,20
Flask,the Yarman,20
the Sperm Whale,Ishmael,19
the Sperm Whale,the White Whale,19
Perseus,St. George,19
Leviathan,Scoresby,19
Starbuck,Gabriel,19
Jonah,St. George,19
Ahab,Leviathan,19
Steelkilt,old Rad,19
Flask,the Parsee,19
Ahab,Sperm Whales,19
Moby Dick,Steelkilt,19
Queequeg,Jove,19
Don Pedro,Radney,19
the Sperm Whale,God,19
Lima,old Rad,19
Bulkington,the Pequod,19
Yojo,Peleg,19
Scoresby,Beale,19
Ahab,Aloft,18
God,Bulkington,18
Ahab,the Nantucket Indians,18
Leviathan,the Prophet Jonas,18
God,King Henry,18
Queequeg,little King - Post,18
God,Mrs. Hussey,18
Moby Dick,the Nantucketer,18
Captain Boomer,Bunger (#1263),18
Starbuck,Jove,18
Ahab,Cetology,18
Stubb (#771),Aloft,18
Hark,Cabaco,18
Daggoo,Tash,18
Jonah,Andromeda,17
God,Jove,17
NANTUCKET SAILOR,Stubb (#771),17
Fedallah,little King - Post,17
Stubb (#771),Halloa,17
Starbuck,Archy,17
Pip,Tashtego,17
Ahab,Noah,17
Ahab,Abraham,17
Steelkilt,Senor,17
Starbuck,Aunt Charity,17
Starbuck,Yonder,17
God,Man,17
Bildad,Aunt Charity,17
Hark,the old Mogul,17
Perseus,Andromeda,17
the Pequod,Carpenter,17
Lima,Canallers,17
Stubb,Daggoo,17
Ahab,Adam,17
Peleg,Aunt Charity,17
Fedallah,Jove,16
Starbuck,the Nantucket Indians,16
Peleg,Quohog,16
Bennett,J. Ross Browne,16
Moby Dick,Adam,16
God,Yojo,16
Macey,Mayhew,16
Joppa,Tarshish,16
Queequeg,Mr. Hosea Hussey,16
God,Pip,16
Queequeg,unfort’nate Stiggs,16
Sperm Whales,J. Ross Browne,16
Ahab,Nay,16
Don Pedro,Canallers,16
the Nantucketer,Emperors,16
God,Joppa,16
Ho,Radney,16
Ahab,Macey,16
J. Ross Browne,Frederick Cuvier,16
Queequeg,Quohog,16
Don Pedro,the Lakeman,16
God,Nelson,16
Hark,Archy,16
Man,Daggoo,16
Bildad,Quohog,16
the Pequod,the Frenchman,16
God,Mark,16
the Sperm Whale,Fedallah,16
J. Ross Browne,Beale,16
Ho,Steelkilt,16
the Pequod,the Yarman,16
Lima,Ho,16
Rachel,the Parsee,16
the Sperm Whale,Sperm Whales,16
Moby Dick,Ishmael,16
Ishmael,Stubb (#771),16
Mrs. Hussey,unfort’nate Stiggs,16
Hurrah,the Pequod,16
Leviathan,Perseus,16
Ahab,Belshazzar,16
King Henry,Jonah,16
the Sperm Whale,King Tranquo,16
Gabriel,the Jeroboam,16
Chowder,Queequeg,16
Leviathan,Andromeda,16
Gabriel,Macey,16
Ishmael,Yojo,16
Beale,Frederick Cuvier,16
Starbuck,Fate,16
Ahab,Mark,16
Ishmael,Peleg,16
Starbuck,Ca,16
Ahab,Hurrah,16
Starbuck,Rachel,16
the Sperm Whale,Tun,16
Mrs. Hussey,Mr. Hosea Hussey,16
King Henry,Tarshish,16
Ca,Stubb (#771),16
Starbuck,Belshazzar,16
Ahab,Satan,16
Starbuck,the old Mogul,16
Ahab,the Gay - Header,16
Daggoo,Dough - Boy,16
Ahab,Ha,16
Stubb,Queequeg,15
Leviathan,Solomon,15
Leviathan,Ishmael,15
Starbuck,Man,15
Ramadan,Peleg,15
the Sperm Whale,Dough - Boy,15
Stubb (#771),Aunt Charity,15
Frederick Cuvier,Owen,15
Ahab,Beelzebub,15
Stubb (#771),Belshazzar,15
Queequeg,Deacon Deuteronomy,15
Peleg,Deacon Deuteronomy,15
Stubb (#771),the Frenchman,15
the Sperm Whale,Stubb,15
Stubb (#771),Fate,15
the Sperm Whale,Jove,15
Ishmael,the White Whale,15
the Sperm Whale,Alexander the Great,15
Cetology,Scoresby,15
J. Ross Browne,Scoresby,15
the Pequod,Ere,15
Kings,the Pequod,15
Tashtego,Rachel,15
the Sperm Whale,Daggoo,15
the Pequod,Rachel,15
Stubb (#771),Ginger,15
Ahab,Ca,15
the Sperm Whale,the Samuel Enderby,15
Leviathan,Jove,15
God,the Nantucketer,15
Fedallah,Daggoo,15
Flask,the old Mogul,15
Fedallah,Beelzebub,15
the Pequod,Jungfrau,15
God,Perth,15
Bildad,Deacon Deuteronomy,15
Cetology,Linnæus,14
Halloa,Carpenter,14
Noah,the Pequod,14
the White Whale,Bunger (#1263),14
Rachel,Pip (#1207),14
Tashtego,Perth,14
Gabriel,God,14
Sperm Whales,Solomon,14
Jove,Methinks,14
Moby Dick,Don Pedro,14
the Pequod,Nay,14
Hark,Starbuck,14
the White Whale,Captain Boomer,14
Steelkilt,Canallers,14
Tashtego,Derick,14
the Pequod,the Jeroboam,14
Ahab,Yojo,14
Starbuck,Jungfrau,14
Bulkington,Jonah,14
Stubb,Tashtego,14
Moby Dick,Don Sebastian,14
St. George,Andromeda,14
Sperm Whales,the Pequod,14
God,Satan,14
the Sperm Whale,the King of the Cannibals,14
Jonah,Stubb (#771),14
Stubb (#771),Perth,14
Flask,Leviathan,14
Ahab,Bunger,14
Flask,Rachel,14
the Sperm Whale,the Nantucketer,14
Ahab,Yonder,14
God,the Prophet Jonas,14
Ahab,Pip,14
Flask,Belshazzar,14
Radney,old Rad,13
Moby Dick,Mary,13
Leviathan,St. George,13
Queequeg,Father Mapple,13
Starbuck,Aloft,13
Man,Stubb (#771),13
Pip,Stubb (#771),13
Leviathan,Tashtego,13
Queequeg,Derick,13
Pip (#1207),Manxman,13
Queequeg,Jungfrau,13
Cetology,Flask,13
Moby Dick,Bunger (#1263),13
Moby Dick,Fate,13
the Nantucketer,Noah,13
Lima,God,13
the White Whale,Perth,13
Sperm Whales,Leviathans,13
God,Bowditch,13
Flask,Beelzebub,13
Moby Dick,Jove,13
the White Whale,Hast,13
Tashtego,Pip (#1207),13
Moby Dick,Captain Boomer,13
Colnett,Frederick Cuvier,13
Colnett,Scoresby,13
Leviathan,Colnett,13
Moby Dick,Pip (#1207),13
Ahab,Fashioned,13
Hark,the Pequod,13
God,Father Mapple,13
Jonah,Hercules,13
Leviathan,Pliny,13
Hark,God,13
God,Nay,13
Alexander the Great,the Pequod,13
Perth,Fashioned,13
Moby Dick,Radney,13
Dost,Carpenter,13
the Sperm Whale,Bethink,13
Ahab,Americans,13
Flask,Pip (#1207),13
Peleg,Elijah,12
Stubb (#771),Beale,12
Leviathan,Champollion,12
the Pequod,the old Gay - Head Indian,12
Fedallah,Pip (#1207),12
Starbuck,Ho,12
the Sperm Whale,Cook,12
the Pequod,Belshazzar,12
King Henry,Joppa,12
Ahab,Tash,12
Jove,Doubloon,12
Canallers,Senor,12
Peleg,Lank Bildad,12
Pip,MATE,12
the Sperm Whale,Scoresby,12
Hurrah,Derick,12
Leviathan,Ere,12
Cetology,Beale,12
Hurrah,Tashtego,12
Yojo,Bildad,12
the Spaniard,Daggoo,12
Don Pedro,Senor,12
Cetology,Stubb (#771),12
the White Whale,Pip (#1207),12
Leviathan,Owen,12
Noah,Yea,12
Starbuck,the Jeroboam,12
Leviathan,Sir William Davenant,12
Ramadan,the Pequod,12
Flask,Heaven,12
Leviathan,Angelo,12
Ramadan,Ishmael,12
God,Heaven,12
Don Sebastian,Senor,12
Ahab,Doubloon,12
Mark,the Pequod,12
Scoresby,Linnæus,12
Bunger,Captain Boomer,12
Stubb (#771),Ho,12
Starbuck,Macey,12
God,Hast,12
Bildad,Heaven,12
Bulkington,Peleg,12
Bulkington,Bildad,12
Flask,Jungfrau,12
the Sperm Whale,Jungfrau,12
Hark,little King - Post,12
Bildad,Lank Bildad,12
Stubb (#771),Beelzebub,12
God,Steelkilt,12
Peleg,Heaven,12
Ahab,the old Gay - Head Indian,12
the Pequod,Mayhew,12
Stubb (#771),Doubloon,12
Man,the Pequod,12
Ishmael,Mrs. Hussey,12
Starbuck,Adam,11
Ishmael,Bildad,11
Starbuck,NANTUCKET SAILOR,11
Sperm Whales,Frederick Cuvier,11
Queequeg,Andes,11
Man,Tashtego,11
Father Mapple,Peleg,11
Jonah,Scoresby,11
Father Mapple,Bildad,11
Starbuck,Elijah,11
Father Mapple,Quohog,11
Jove,Champollion,11
God,Dough - Boy,11
Ahab,Beale,11
God,NANTUCKET SAILOR,11
Perseus,Hercules,11
Fedallah,Cabaco,11
Ahab,Bulkington,11
Fedallah,Archy,11
the Sperm Whale,Champollion,11
God,the old Mogul,11
Hercules,St. George,11
the Pequod,the Nantucket Indians,11
Ahab,Lionel,11
the Pequod,Perth,11
the Pequod,Mary,11
God,Emperors,11
Gabriel,the Pequod,11
Leviathan,Derick,11
Carpenter,Prometheus,11
Pip (#1207),Perth,11
Leviathan,old Scotch Sibbald,11
Heaven,Stubb (#771),11
Leviathan,Lavater,11
the Lakeman,old Rad,11
Chowder,Mrs. Hussey,11
Ahab,St. Paul,11
Ramadan,Mrs. Hussey,11
little King - Post,Archy,11
Ahab,Aunt Charity,11
Pip,NANTUCKET SAILOR,11
old Scotch Sibbald,Scoresby,11
Aunt Charity,Dough - Boy,11
Ahab,the Spaniard,11
Fedallah,God,11
Ahab,Solomon,11
God,Napoleon,11
the Pequod,Perseus,11
God,the Spaniard,11
Fedallah,Fate,11
the Sperm Whale,Lavater,11
the Pequod,Heaven,11
Gabriel,Stubb (#771),11
the Sperm Whale,Fleece,11
Starbuck,Ere,10
Beale,Linnæus,10
Sperm Whales,Huggins,10
Leviathan,Beale,10
Leviathan,Gall,10
Ahab,Frederick Cuvier,10
Flask,Halloa,10
Sperm Whales,Jonah,10
Stubb (#771),Carpenter,10
Cetology,Halloa,10
Bildad,the Quaker,10
Queequeg,NANTUCKET SAILOR,10
Stubb (#771),the old Gay - Head Indian,10
Ha,Stubb (#771),10
St. Paul,Stubb (#771),10
Chowder,Mr. Hosea Hussey,10
old Scotch Sibbald,Frederick Cuvier,10
Lavater,Gall,10
Jove,Lavater,10
Jove,Tashtego,10
Ahab,Squid,10
Sperm Whales,the Prophet Jonas,10
Don Sebastian,the Lakeman,10
the Sperm Whale,Tash,10
Stubb (#771),the Jeroboam,10
St. Paul,the Pequod,10
the Sperm Whale,the Gay - Header,10
God,Belshazzar,10
Cetology,Bennett,10
Queequeg,Bowditch,10
Queequeg,Alexander the Great,10
Moby Dick,Yonder,10
the Pequod,Yea,10
Bennett,Linnæus,10
the Sperm Whale,Gall,10
Queequeg,Jonah,10
God,Peleg,10
Starbuck,Lionel,10
Bennett,Beale,10
Ahab,Emperors,10
Bennett,Scoresby,10
Moby Dick,the Gay - Header,10
Queequeg,Man,10
God,Methinks,10
Hark,Doubloon,10
Stubb (#771),Mary,10
Queequeg,Aristotle,10
Peleg,the Quaker,10
Stubb,Whole Atlantics and Pacifics,10
Moby Dick,the Lakeman,10
God,Ere,10
Ahab,Napoleon,10
Tashtego,the Yarman,10
Hark,Jove,10
NANTUCKET SAILOR,the Pequod,10
Daggoo,Whole Atlantics and Pacifics,10
Moby Dick,Man,10
Sperm Whales,Pliny,10
Ahab,Holloa,9
Solomon,the Pequod,9
NANTUCKET SAILOR,the Spaniard,9
St. George,Vishnoo,9
Moby Dick,Mayhew,9
Bildad,Elijah,9
Radney,Senor,9
the Sperm Whale,Derick,9
the Sperm Whale,St. Peter,9
Leviathan,King Juba,9
the Sperm Whale,Man,9
Starbuck,O Lord,9
Hurrah,Peleg,9
the Sperm Whale,Ere,9
Hurrah,Bildad,9
the Parsee,Perth,9
the Sperm Whale,Bennett,9
NANTUCKET SAILOR,MATE,9
Hercules,Vishnoo,9
Perseus,Vishnoo,9
Dough - Boy,King Ahab,9
Starbuck,Hoot,9
Starbuck,King Ahab,9
the Sperm Whale,Sir Clifford,9
Ramadan,Ahab,9
Don Sebastian,Canallers,9
Starbuck,Satan,9
Stubb (#771),Mayhew,9
Moby Dick,Gabriel,9
Fedallah,Dough - Boy,9
Jonah,Jungfrau,9
Ahab,Accessory,9
Jonah,Vishnoo,9
Ahab,Miriam Coffin,9
Hark,Fedallah,9
Beale,Owen,9
Thomas Jefferson,Edmund Burke,9
Flask,Bildad,9
Flask,Peleg,9
God,ROBERT LONG,9
Stubb,Stubb (#771),9
Bennett,Owen,9
Linnæus,Owen,9
Fedallah,John the Asiatic,9
King Tranquo,Sir Clifford,9
Huggins,Garnery,9
the Pequod,Beelzebub,9
Hackluyt,Leviathan,9
Queequeg,the little Moss,9
the Pequod,old Scotch Sibbald,9
Susan,Eckermann,9
Procopius,Justinian,9
Emperors,the Pequod,9
God,Bildad,9
Long - John,Cain,9
Jove,Gall,9
Sperm Whales,Colnett,9
unfort’nate Stiggs,Yojo,9
Jonah,Guido,9
Cetology,Owen,9
the Sperm Whale,Daniel Webster,9
Flask,King Ahab,9
the Samuel Enderby,Bunger,9
Stubb (#771),John the Asiatic,9
Flask,O Lord,9
Starbuck,Accessory,9
Ahab,Bouton - de - Roses,9
Scoresby,Owen,9
the Samuel Enderby,Captain Boomer,9
God,Owen,9
Ahab,Bowditch,9
Stubb (#771),Macey,9
Ahab,King Ahab,9
Flask,John the Asiatic,9
Stubb (#771),O Lord,9
Jonah,old Scotch Sibbald,9
Ahab,Nicholas the Czar,9
Leviathan,Guido,9
Stubb (#771),Satan,9
Stubb (#771),Hoot,9
Stubb (#771),King Ahab,9
Ahab,Hoot,9
God,Hercules,8
Don Sebastian,Ho,8
Ishmael,Champollion,8
God,Noah,8
St. George,antique Crockett,8
God,the old Egyptians,8
God,Mayhew,8
God,the King of the Cannibals,8
God,Yonder,8
