character,degree,weighted_degree,betweenness,closeness,eigenvector
Elizabeth,89,12015,0.8757402212872059,27.148408406024313,0.4876533799285393
Lydia,83,5211,0.07228845254791957,26.26650791966438,0.24517419400510868
Mr. Darcy,85,7494,0.057698301386940945,26.64239487654321,0.35170955663428666
Jane,86,7689,0.05310113760324139,26.6291756883001,0.35740436174696755
Mrs. Bennet,86,5610,0.04396524855851645,26.2580346534292,0.26818770026674005
Mr. Bingley,78,5082,0.04336138382421693,26.17635997862313,0.25205228189202183
Miss Bingley,62,3072,0.04160822814399252,25.60042718654608,0.14856472590569514
Lady Catherine,74,5543,0.021856007480130904,26.22392354539236,0.25458697827863386
Sir William,57,1826,0.021505376344086023,23.624886159064943,0.07704605548173764
Mr. Bennet,75,3593,0.021485896836527973,25.57376219147327,0.17464603990732444
Wickham (#197),73,4304,0.0009350163627863487,26.080096230764426,0.21579875837943788
Miss Austen,28,315,0.0004675081813931744,11.766762876617618,0.010081076601617004
Colonel Forster,45,1060,7.791803023219573e-05,21.254122087078294,0.046923132883201255
Georgiana,40,717,0.0,21.018425073538562,0.033905366928869765
Mrs. Jenkinson,20,382,0.0,17.912169120081522,0.015335152445501576
Anne,24,293,0.0,15.377195149697194,0.013515681771843188
the Philipses,24,207,0.0,10.143647528187934,0.008970961476804222
Rosings,50,1691,0.0,24.051752313118115,0.0780443559854194
Mr. Denny,34,580,0.0,18.001066500283063,0.025963708275759115
Netherfield,41,681,0.0,19.620663392964605,0.03272034883419966
Sir Lewis de Bourgh,18,206,0.0,12.602115397978961,0.008566799727120808
Mr. Gardiner,48,1471,0.0,24.00374353277426,0.07164305508807195
Mrs. Hill,24,249,0.0,14.888306749968836,0.012190940281841188
Mrs. Gardiner,54,2026,0.0,24.903999006136623,0.10172219691985596
Charles,17,260,0.0,15.691122830784407,0.01244689487973342
Mr. Jones,26,273,0.0,15.167583363052591,0.013214249460308403
Caroline,40,820,0.0,20.828731614017325,0.038859880697394454
Louisa,23,272,0.0,15.67569348514922,0.013660609399676279
NIND,19,236,0.0,15.55470978599974,0.010882109221946632
the Parsonage,36,596,0.0,19.846820301053626,0.02798311214431911
Colonel Fitzwilliam,34,879,0.0,22.64812361938729,0.045432716577067864
Mrs. Collins,40,1246,0.0,23.296347555330023,0.056107813448995916
Mrs. Annesley,17,124,0.0,10.523481074816118,0.005953265664127603
Consoled,7,48,0.0,6.7677691420782216,0.003154617307106734
Mrs. Nichols,10,58,0.0,6.244849709120892,0.0033269017586036714
Poor Reynolds,8,88,0.0,12.811772917920614,0.005837178133419822
William Goulding,10,52,0.0,6.235766290360108,0.002580258475203893
Wickham (#253),31,369,0.0,16.514133997158485,0.01673772947567153
Wickham (#247),19,266,0.0,15.172086346709289,0.012147347744136611
the Forsters,11,78,0.0,6.251983681107212,0.0035383380782820044
Colonel F.,11,75,0.0,6.256077848414515,0.003167036789776763
Mrs. Reynolds,8,181,0.0,16.85844118523279,0.009965948355037913
Ladyship,11,96,0.0,10.138703755903036,0.004266871882269286
Kitty,25,409,0.0,17.34531546563186,0.01846532679768013
the Collinses,30,305,0.0,15.040777635752514,0.01359067099237235
Wickham (#228),8,74,0.0,10.531986954722049,0.005619503380448101
Harriet,18,157,0.0,10.159644105781615,0.0065084849060559015
Mrs. Forster,31,505,0.0,18.150772475942624,0.024981741313960214
Charlotte (#222),34,381,0.0,17.140913404679473,0.0164588321970371
Mrs. Younge,17,155,0.0,10.14112783753707,0.0071558832270601554
Mrs. Philips,43,899,0.0,21.21587534282671,0.04264845393487417
Captain Carter,25,267,0.0,14.075346871063825,0.012124706982324691
Mr. Robinson,19,113,0.0,6.841099515936266,0.0033547222950881706
"Miss Bingley,--",5,40,0.0,8.386797520960023,0.00272747998004385
Miss de Bourgh,50,1042,0.0,22.59170056103958,0.04813053566785782
the Gardiners,43,560,0.0,18.41672041724594,0.023176347684668735
the Bingleys,47,577,0.0,17.408291557102146,0.0234866790384417
Mr. Philips,57,841,0.0,20.059784639105906,0.03611323848970759
John,37,332,0.0,12.887021472129241,0.012885375142400443
the late M. de Maupassant,27,167,0.0,6.407621747509746,0.005253364214281688
Mary (#119),53,1041,0.0,20.217692990129155,0.04766858351146142
Swift,27,218,0.0,8.201506070386214,0.0068385039285876765
Addison,27,218,0.0,8.201506070386214,0.0068385039285876765
Miss Darcy,65,2157,0.0,24.96703977221501,0.10039959967114546
Mr. Collins,67,3999,0.0,25.799430383745758,0.18142011088140675
Wickham,45,807,0.0,21.12375335020283,0.03700751501231215
Fielding,28,262,0.0,9.729579844021615,0.008320469344038794
Emma,22,133,0.0,6.413174542330395,0.00428450489427093
Crawford,23,136,0.0,6.417556199739545,0.0043156058497142505
Mary,47,864,0.0,21.494912052739814,0.042654133235986345
George Saintsbury,27,157,0.0,10.01480322358614,0.00644308571989966
George Allen,64,1804,0.0,24.121249122326827,0.08370077173801047
the Lucases,58,1048,0.0,20.800391331651618,0.043582310343654895
Charlotte,62,2537,0.0,24.65958927321386,0.10911391296548938
Meryton,62,1966,0.0,23.99312569766053,0.09390332469519894
Pemberley,57,1431,0.0,23.77065052749286,0.0670101754906021
Poor Eliza,18,107,0.0,7.390315667207452,0.0033525107713323144
Longbourn,59,1279,0.0,22.55866227927852,0.05703587760248578
St. James,36,398,0.0,14.325141518246838,0.01368313098227316
the Miss Bennets,42,637,0.0,18.28726605992029,0.02823533063746113
Elizabeth (#159),21,229,0.0,12.155357382039758,0.0071427682991741116
Maria,48,1099,0.0,21.826108088437756,0.04800070417593196
Miss King,28,374,0.0,16.07719948717417,0.01796715206603399
Miss Lucas,42,1353,0.0,21.616436223633464,0.06042744756224189
Elizabeth (#153),37,775,0.0,20.688042877728417,0.030965985532932973
Mrs. Hurst,45,1050,0.0,22.200092798352667,0.05022353507187566
Mr. Hurst,29,586,0.0,20.680316438188356,0.02975546843468493
Lady Lucas,48,997,0.0,20.855183403053026,0.04376701329627731
