source,target,weight
Elizabeth,Mr. Darcy,1168
Elizabeth,Jane,1019
Elizabeth,Lady Catherine,703
Elizabeth,Mrs. Bennet,667
Mr. Bingley,Elizabeth,636
Elizabeth,Wickham (#197),620
Lydia,Elizabeth,592
Jane,Mr. Darcy,590
Mrs. Bennet,Jane,482
Lydia,Jane,480
Mr. Bingley,Jane,474
Mr. Collins,Elizabeth,471
Mr. Bingley,Mr. Darcy,454
Elizabeth,Miss Bingley,408
Wickham (#197),Mr. Darcy,399
Elizabeth,Mr. Bennet,394
Mr. Bingley,Mrs. Bennet,371
Mr. Bennet,Mrs. Bennet,364
Lydia,Mrs. Bennet,359
Jane,Wickham (#197),350
Mrs. Bennet,Lady Catherine,346
Lady Catherine,Mr. Darcy,341
Miss Bingley,Mr. Darcy,340
Lady Catherine,Jane,332
Mr. Collins,Lady Catherine,330
Lydia,Lady Catherine,302
Mr. Bennet,Jane,302
Elizabeth,Mrs. Gardiner,298
Lydia,Mr. Darcy,291
Mrs. Bennet,Mr. Darcy,285
Lydia,Wickham (#197),285
Miss Darcy,Elizabeth,284
Lydia,Mr. Bennet,266
Mr. Collins,Mrs. Bennet,260
Elizabeth,Charlotte,259
Mr. Bennet,Lady Catherine,236
Miss Bingley,Jane,227
Mr. Collins,Jane,220
Lydia,Mr. Bingley,217
George Allen,Elizabeth,214
Mr. Bingley,Lady Catherine,213
Elizabeth,Rosings,208
Elizabeth,Mr. Gardiner,205
Miss Darcy,Mr. Darcy,202
Elizabeth,Meryton,202
Mr. Bingley,Mr. Bennet,202
Mr. Collins,Charlotte,198
Elizabeth,Pemberley,189
Mr. Bingley,Miss Bingley,186
Mr. Collins,Mr. Darcy,184
Mrs. Gardiner,Mr. Darcy,181
Elizabeth,Sir William,176
Mrs. Bennet,Wickham (#197),172
Mr. Collins,Mr. Bennet,168
Lady Catherine,Rosings,167
Lady Catherine,Wickham (#197),165
Elizabeth,Mrs. Collins,162
Lydia,Mr. Collins,158
Charlotte,Jane,157
Lady Catherine,Charlotte,153
Lydia,Meryton,147
Jane,Mrs. Gardiner,146
Mr. Bingley,Wickham (#197),145
Meryton,Jane,144
Mrs. Hurst,Miss Bingley,143
Mr. Collins,Wickham (#197),142
Pemberley,Mr. Darcy,142
Lady Catherine,Mrs. Collins,138
Mrs. Gardiner,Wickham (#197),137
Rosings,Mr. Darcy,136
Mr. Bingley,Miss Darcy,135
Elizabeth,Colonel Fitzwilliam,135
Elizabeth,Miss de Bourgh,133
Mr. Bingley,Mr. Collins,132
Longbourn,Elizabeth,132
Jane,Mr. Gardiner,129
Charlotte,Mr. Darcy,124
Mr. Darcy,Colonel Fitzwilliam,124
Miss Darcy,Jane,123
Lady Catherine,Meryton,123
George Allen,Mr. Darcy,122
George Allen,Jane,122
Mr. Collins,Rosings,121
Sir William,Mr. Darcy,121
Mr. Bennet,Mr. Darcy,119
Wickham (#197),Mr. Gardiner,119
Elizabeth,Mrs. Hurst,118
Meryton,Wickham (#197),117
Lady Catherine,Miss de Bourgh,117
Miss Darcy,Miss Bingley,115
Mrs. Hurst,Mr. Darcy,113
Mrs. Bennet,Miss Bingley,113
Meryton,Mr. Darcy,112
Mrs. Gardiner,Mr. Gardiner,110
Charlotte,Sir William,110
Elizabeth,Maria,110
Longbourn,Jane,109
Lady Catherine,Miss Bingley,107
Mrs. Bennet,Charlotte,106
Lady Catherine,Sir William,106
Mr. Bennet,Wickham (#197),104
Mrs. Bennet,Miss Lucas,103
Mrs. Bennet,Meryton,103
Elizabeth,Miss Lucas,102
Mary,Elizabeth,101
Lady Catherine,Maria,100
Colonel Forster,Jane,99
Rosings,Mrs. Collins,98
George Allen,Mr. Bingley,98
Lydia,Colonel Forster,97
Miss Lucas,Jane,96
Mr. Collins,Sir William,96
Mr. Collins,Miss Lucas,96
Elizabeth,Mrs. Philips,95
Mr. Darcy,Mrs. Collins,93
Charlotte,Miss Lucas,92
Elizabeth,Colonel Forster,92
Lydia,Miss Bingley,92
Elizabeth,Georgiana,92
Mr. Bingley,Mrs. Gardiner,91
Elizabeth,Lady Lucas,89
Miss Darcy,Wickham (#197),88
Pemberley,Mrs. Gardiner,88
Elizabeth (#153),Mr. Darcy,88
Elizabeth,Caroline,88
Mr. Hurst,Miss Bingley,88
Mr. Bingley,Meryton,88
Elizabeth,the Lucases,88
Wickham,Elizabeth,87
Mary,Jane,87
Georgiana,Mr. Darcy,87
Mr. Bingley,Sir William,86
Mr. Bingley,Charlotte,86
Mr. Collins,Mrs. Collins,86
Elizabeth,Mr. Hurst,85
Lydia,Mr. Gardiner,85
George Allen,Lady Catherine,85
Mary,Lydia,84
Mr. Collins,Miss de Bourgh,84
Miss Darcy,Pemberley,83
Mary (#119),Mrs. Bennet,83
Mrs. Bennet,Mrs. Gardiner,82
Longbourn,Mrs. Bennet,81
Jane,Rosings,80
Charlotte,Rosings,80
Miss Lucas,Mr. Darcy,80
Miss de Bourgh,Mr. Darcy,79
Mr. Gardiner,Mr. Darcy,79
Rosings,Colonel Fitzwilliam,78
Lydia,Charlotte,78
Lydia,Mrs. Gardiner,76
Caroline,Jane,76
Elizabeth,Mary (#119),76
Elizabeth,Mr. Philips,76
Lady Lucas,Jane,76
Mrs. Bennet,the Lucases,75
Miss Bingley,Caroline,74
the Lucases,Jane,74
Miss Darcy,Mrs. Gardiner,74
Mrs. Bennet,Sir William,74
Elizabeth,the Parsonage,73
Mr. Hurst,Mr. Darcy,73
Mary (#119),Lady Catherine,73
George Allen,Mrs. Bennet,72
Mrs. Hurst,Jane,72
Mr. Collins,Mrs. Philips,72
Wickham,Mr. Darcy,71
Mr. Bennet,Meryton,71
Mrs. Bennet,Lady Lucas,71
Netherfield,Elizabeth,70
Mary (#119),Mr. Darcy,70
Mary (#119),Jane,70
Mr. Collins,Meryton,70
Miss Bingley,Wickham (#197),68
Charlotte,Wickham (#197),68
Maria,Jane,68
Mr. Bingley,Lady Lucas,67
Longbourn,Mr. Collins,66
George Allen,Wickham (#197),66
Lydia,Mary (#119),66
Mr. Bingley,Mrs. Hurst,66
Mr. Bingley,Miss Lucas,65
Sir William,Jane,65
Mr. Bingley,Pemberley,65
Mr. Collins,Maria,65
Lydia,Mrs. Philips,65
