character,degree,weighted_degree,betweenness,closeness,eigenvector
Holmes,102,4370,0.9709671396564601,18.968522403151713,0.6553558758302401
Lord St. Simon,15,431,0.0927931292008962,16.61815482711444,0.1322433479983615
Watson,76,1523,0.07262882748319642,18.335426269897702,0.4871741634553338
Miss Hunter,18,397,0.0371545929798357,16.473210932804164,0.13093778115983096
Isa Whitney,10,92,0.01941747572815534,8.296973341072393,0.018740333090694554
Mr. Hatherley,17,152,0.019230769230769232,14.676947265184358,0.058449273069311414
Irene Adler,12,183,0.019044062733383122,15.622215880045765,0.08073895520993525
John Openshaw,20,250,0.018483943241224796,14.886030215685379,0.08378454616836731
Kate,9,72,0.018297236743838687,8.841477066557678,0.020595922344625414
young McCarthy,16,425,0.0007468259895444362,16.43029440799311,0.13352205978386414
Lestrade,24,543,0.00018670649738610905,17.125097965700323,0.18804723085918196
Mary,20,368,0.00018670649738610905,16.40682587203507,0.12477655284786039
Turner,17,278,9.335324869305452e-05,14.907842963039274,0.07815501977556295
Briony Lodge,3,40,0.0,9.281579160306382,0.01592657528423336
IX,6,49,0.0,7.005063332096226,0.01655147228630293
Mr. Ferguson,3,35,0.0,9.024304153956558,0.014396249240336834
Colonel Lysander Stark,8,101,0.0,13.738845211445003,0.03987443413108685
Julia,6,45,0.0,7.76271764041459,0.01520441263936967
Fritz,4,28,0.0,6.192220481020155,0.007792167832364227
Elise,4,26,0.0,5.7061894614018565,0.00695364360381144
Hullo,8,53,0.0,8.724636351608396,0.020941908144956514
Stoke Moran,11,147,0.0,12.919360506248198,0.05358732627451669
Miss Stoner,10,247,0.0,15.975014985953969,0.11137737875490701
Mrs. Farintosh,6,28,0.0,6.5894653367398375,0.01383725630281835
Ha,12,103,0.0,12.693307612740767,0.04276489741791894
Dr. Roylott,12,330,0.0,16.412226483688695,0.13495406297816812
Ryder,8,134,0.0,12.834615672189146,0.04195063341672006
Mrs. Oakshott,10,117,0.0,12.701806892753384,0.03891373188323346
Breckinridge,8,111,0.0,11.951938134640523,0.038199203914666705
Mr. Windigate of the Alpha,6,83,0.0,10.645973288255073,0.028989938369442445
Mr. Henry Baker,11,176,0.0,14.072738458053164,0.06376207139918448
Catherine Cusack,10,89,0.0,8.745014843702608,0.02414197290993755
Dr. Becher,3,14,0.0,4.288198460209937,0.004677339693360335
Mr. Aloysius Doran,9,163,0.0,12.824532452517076,0.047050516647592945
"MR . SHERLOCK HOLMES,—Lord Backwater",6,51,0.0,7.014433524084287,0.018712750721289518
Miss Hatty Doran,7,84,0.0,11.939480418398787,0.025176329608778244
Miss Alice,7,124,0.0,10.898267510241041,0.037390678690864536
the Rucastles,8,86,0.0,10.640001988019357,0.03018568028951369
Carlo,6,40,0.0,5.675698137053386,0.009861251634541943
Toller,10,301,0.0,15.124646506932164,0.09099274395528838
Mrs. Rucastle,10,200,0.0,14.030323683436555,0.06320480971112312
Mr. Rucastle,11,346,0.0,16.14186996887393,0.11393635126990605
Miss Stoper,4,51,0.0,10.440688965633706,0.021936724186172235
"DEAR MR . HOLMES,—I",4,21,0.0,4.958009005455325,0.0050186934598527785
XII,7,39,0.0,6.143953283254068,0.013678919650894465
Boots,5,33,0.0,5.679013839130648,0.008455499662926783
Miss Holder,8,139,0.0,13.384764921174375,0.04923587961210037
Sir George Burnwell,10,188,0.0,14.191728905613774,0.057919957800781983
Lucy Parr,5,59,0.0,8.434608033941666,0.016793178369307514
Mr. Holder,9,192,0.0,15.07776374590536,0.06980620688453651
THE BERYL CORONET “ Holmes,7,44,0.0,8.099744960783237,0.018305703236242248
the Apaches,4,38,0.0,6.329386336925118,0.008310844243950651
Pa,4,45,0.0,7.399833804024633,0.009635378559675797
Frank,4,59,0.0,9.196853097301341,0.016245060478663764
Flora Millar,8,137,0.0,11.71504685348508,0.03928686995554459
