source,target,weight
Holmes,Watson,494
Holmes,Lestrade,170
Holmes,Mr. Wilson,134
Holmes,Dr. Roylott,118
Holmes,Mary,117
Holmes,Miss Hunter,117
Holmes,Lord St. Simon,117
Holmes,young McCarthy,115
Holmes,Mr. Rucastle,104
Holmes,Miss Stoner,100
Holmes,Mr. Hosmer Angel,100
Holmes,God,95
Holmes,Irene Adler,86
Holmes,Mr. Neville St. Clair,85
young McCarthy,Lestrade,82
Holmes,Arthur,79
Holmes,Toller,72
Holmes,Mr. Holder,72
Holmes,Mr. Windibank,71
Holmes,Bradstreet,68
Holmes,Turner,67
Holmes,John Openshaw,67
Holmes,Mr. Duncan Ross,64
Holmes,Mr. Hatherley,63
Dr. Roylott,Miss Stoner,63
Mr. Rucastle,Toller,61
Holmes,Sir George Burnwell,55
Holmes,Mr. Henry Baker,54
Miss Hunter,Mr. Rucastle,54
Mr. Hosmer Angel,Mr. Windibank,54
Holmes,Mrs. Rucastle,53
Mary,Mr. Windibank,51
Turner,young McCarthy,48
Holmes,Colonel Lysander Stark,48
Mr. Rucastle,Mrs. Rucastle,47
Arthur,Sir George Burnwell,46
Watson,Dr. Roylott,46
Holmes,Miss Holder,45
Miss Hunter,Toller,45
Holmes,young Openshaw,43
Lord St. Simon,Mr. Aloysius Doran,43
Holmes,Mrs. St. Clair,42
Lord St. Simon,Miss Hatty Doran,42
Holmes,Vincent Spaulding,41
Holmes,Mr. Merryweather,41
Holmes,Jones,40
Mary,Mr. Hosmer Angel,40
Holmes,Stoke Moran,40
Mr. Wilson,Vincent Spaulding,40
Holmes,Ryder,39
Stoke Moran,Dr. Roylott,39
Holmes,Jem,38
Holmes,Mrs. Oakshott,38
Lestrade,Lord St. Simon,38
Arthur,Mr. Holder,38
Holmes,Ha,38
Holmes,Mr. Aloysius Doran,38
Mrs. Rucastle,Toller,38
Watson,John Openshaw,38
Arthur,Mary,37
Miss Turner,Lestrade,37
Watson,Mr. Wilson,37
Holmes,Horner,36
Watson,Lestrade,36
Holmes,Peterson,36
Watson,Lord St. Simon,35
Holmes,Miss Turner,35
Holmes,Hugh Boone,35
young McCarthy,Miss Turner,35
Holmes,Lee,35
Holmes,Alice,34
Holmes,Lady St. Simon,34
Holmes,Breckinridge,32
Watson,Mr. Neville St. Clair,32
Jem,Ryder,32
Watson,Miss Stoner,32
Watson,Mr. Merryweather,31
Holmes,the Lascar,31
Watson,Miss Hunter,31
Holmes,Flora Millar,30
Lee,Mr. Neville St. Clair,30
Mr. Neville St. Clair,Hugh Boone,29
Lord St. Simon,Lady St. Simon,29
Holmes,Mrs. Hudson,29
Jones,Mr. Merryweather,29
Mr. Holder,Miss Holder,29
Mr. Neville St. Clair,Mrs. St. Clair,29
Mr. Wilson,Mr. Duncan Ross,28
Holmes,John Clay,28
Alice,Lord St. Simon,27
Watson,Mrs. St. Clair,27
Watson,Mr. Henry Baker,27
Miss Hunter,Mrs. Rucastle,26
Lord St. Simon,Flora Millar,26
Turner,Lestrade,26
Watson,Jones,25
Alice,Lady St. Simon,25
Arthur,Miss Holder,25
Watson,God,25
Holmes,Cooee,25
Holmes,Miss Alice,25
Jones,John Clay,24
Irene Adler,Mr. Godfrey Norton,24
Holmes,Mr. Windigate of the Alpha,24
Holmes,the Rucastles,24
Miss Hunter,Miss Alice,24
Watson,Mr. Hosmer Angel,23
Holmes,Miss Stoper,23
young McCarthy,God,22
Holmes,K. K. K.,22
Holmes,McCarthy (#328),22
Mr. Aloysius Doran,Flora Millar,22
Toller,Miss Alice,21
Mr. Neville St. Clair,Bradstreet,21
Watson,Stoke Moran,20
